WEIGHTED DIGRAPH 210 390:
  0 -->  43 ( 22)
  0 -->  59 ( 26)
  0 --> 127 ( 15)
  0 --> 164 ( 32)
  0 --> 189 ( 26)
  1 --> 131 ( 18)
  2 --> 133 ( 13)
  3 -->  91 ( 35)
  3 --> 110 ( 19)
  3 --> 119 ( 23)
  3 --> 187 ( 11)
  3 --> 190 ( 37)
  3 --> 205 ( 22)
  4 -->  38 ( 32)
  4 -->  41 ( 33)
  4 --> 131 ( 22)
  4 --> 200 ( 27)
  5 -->  16 ( 17)
  6 -->  23 ( 28)
  7 -->  99 ( 29)
  7 --> 125 (  6)
  7 --> 166 ( 30)
  8 --> 180 ( 38)
  9 --> 120 ( 24)
 10 -->  89 ( 17)
 11 --> 144 ( 32)
 12 --> 118 ( 21)
 13 --> 143 ( 33)
 14 --> 131 ( 24)
 14 --> 159 ( 31)
 15 --> 154 ( 27)
 16 --> 155 ( 23)
 17 --> 197 ( 14)
 18 -->  62 ( 43)
 19 --> 192 ( 22)
 20 -->   5 ( 18)
 21 --> 136 ( 23)
 22 -->   6 ( 32)
 23 --> 129 ( 29)
 24 -->  67 ( 19)
 25 -->  65 (  9)
 26 --> 116 ( 23)
 27 -->  75 ( 17)
 28 -->  78 ( 17)
 29 --> 122 ( 15)
 30 --> 106 ( 36)
 30 --> 113 ( 43)
 30 --> 159 ( 16)
 31 --> 169 ( 20)
 32 --> 109 ( 18)
 33 -->  30 ( 15)
 33 -->  59 ( 11)
 33 --> 160 ( 28)
 33 --> 164 ( 34)
 34 --> 156 ( 33)
 35 --> 167 ( 27)
 36 -->  69 ( 23)
 36 --> 105 ( 14)
 37 -->  13 ( 41)
 38 -->  30 ( 28)
 38 -->  74 ( 17)
 38 -->  91 ( 22)
 38 --> 164 (  9)
 39 -->  35 ( 34)
 40 -->  73 ( 25)
 41 -->   7 ( 17)
 41 -->  36 ( 22)
 41 -->  73 ( 22)
 41 -->  74 ( 37)
 41 -->  79 ( 29)
 41 --> 125 ( 15)
 41 --> 164 ( 20)
 42 -->  74 ( 29)
 42 --> 125 ( 28)
 42 --> 127 ( 19)
 42 --> 131 ( 32)
 42 --> 141 ( 28)
 42 --> 160 ( 25)
 42 --> 175 ( 31)
 43 -->  99 ( 17)
 43 --> 141 ( 20)
 43 --> 187 ( 21)
 44 --> 102 ( 29)
 45 --> 114 ( 22)
 46 -->  92 ( 24)
 47 -->  36 ( 23)
 47 -->  97 ( 28)
 47 --> 153 ( 28)
 48 -->  88 ( 37)
 49 -->  11 ( 21)
 50 --> 105 (  8)
 51 -->   1 ( 25)
 51 -->   7 ( 19)
 51 --> 110 ( 20)
 51 --> 164 ( 36)
 51 --> 209 ( 43)
 52 --> 209 ( 27)
 53 -->  52 ( 18)
 54 -->  45 ( 29)
 55 --> 110 ( 25)
 55 --> 160 ( 42)
 55 --> 175 ( 13)
 55 --> 187 ( 31)
 56 -->  81 ( 23)
 57 --> 113 ( 26)
 58 -->   7 ( 24)
 58 -->  36 ( 33)
 58 -->  41 ( 17)
 58 -->  91 ( 39)
 58 --> 106 ( 14)
 58 --> 131 ( 28)
 58 --> 138 (  7)
 59 -->  36 ( 36)
 59 -->  64 ( 37)
 59 -->  99 ( 25)
 59 --> 119 ( 20)
 59 --> 125 ( 33)
 59 --> 131 ( 23)
 60 --> 130 ( 25)
 61 -->   9 (  7)
 62 --> 113 ( 26)
 63 --> 157 ( 30)
 64 --> 160 ( 27)
 65 -->  48 ( 13)
 66 -->  63 ( 41)
 67 -->  85 ( 31)
 68 -->  83 ( 29)
 69 -->   0 ( 27)
 69 -->   1 ( 26)
 69 -->  77 ( 34)
 70 -->  39 ( 25)
 71 -->   1 ( 30)
 71 -->   4 ( 22)
 71 -->  51 ( 24)
 71 -->  56 ( 22)
 71 --> 125 ( 23)
 72 --> 187 ( 37)
 73 -->   7 ( 19)
 73 -->  38 ( 29)
 73 -->  60 ( 30)
 73 --> 175 ( 40)
 74 --> 100 ( 20)
 74 --> 159 ( 20)
 74 --> 202 ( 44)
 74 --> 205 ( 31)
 75 -->  90 ( 35)
 76 -->  64 ( 28)
 76 -->  97 ( 18)
 76 --> 101 ( 20)
 76 --> 106 ( 32)
 76 --> 112 ( 28)
 76 --> 113 ( 25)
 76 --> 201 ( 16)
 77 -->   3 ( 37)
 77 -->  14 ( 30)
 77 -->  33 ( 17)
 77 -->  96 ( 33)
 77 --> 125 ( 12)
 77 --> 141 ( 25)
 78 -->  12 ( 23)
 79 -->  43 ( 23)
 79 -->  91 ( 18)
 79 --> 175 ( 36)
 79 --> 209 ( 33)
 80 --> 184 ( 33)
 81 --> 132 ( 29)
 82 --> 124 ( 22)
 83 -->  19 ( 22)
 85 -->   8 ( 22)
 86 -->  94 ( 27)
 87 --> 193 ( 31)
 88 -->   2 ( 18)
 89 --> 187 ( 27)
 90 -->  68 ( 17)
 91 -->   1 ( 13)
 91 -->  14 ( 21)
 91 -->  41 ( 40)
 91 -->  51 ( 19)
 91 -->  84 ( 25)
 91 --> 138 ( 10)
 91 --> 164 ( 15)
 91 --> 189 ( 22)
 91 --> 209 ( 27)
 92 -->  98 ( 27)
 93 --> 134 ( 28)
 94 --> 139 ( 15)
 95 -->  72 ( 31)
 96 -->  36 ( 24)
 96 -->  64 ( 25)
 96 -->  69 (  9)
 96 -->  97 ( 12)
 96 --> 187 ( 33)
 96 --> 209 ( 43)
 97 -->  91 ( 38)
 97 --> 125 ( 30)
 97 --> 138 ( 23)
 97 --> 141 ( 25)
 97 --> 160 ( 28)
 98 --> 103 ( 20)
 99 -->  91 ( 22)
 99 -->  97 ( 24)
 99 --> 119 ( 23)
 99 --> 159 ( 22)
100 --> 179 ( 29)
101 -->  14 ( 25)
101 -->  59 ( 32)
101 -->  71 ( 20)
102 --> 185 ( 27)
103 -->  50 ( 13)
104 --> 149 ( 21)
105 -->   0 ( 37)
105 -->  55 ( 14)
105 -->  87 ( 33)
105 --> 164 ( 28)
105 --> 202 ( 29)
107 -->  18 ( 28)
108 --> 191 ( 40)
109 -->  80 ( 21)
110 --> 131 ( 15)
110 --> 166 ( 24)
111 -->  46 ( 21)
112 -->  74 ( 20)
112 -->  77 ( 29)
113 -->   0 ( 18)
113 --> 106 ( 20)
113 --> 172 ( 19)
113 --> 195 ( 40)
114 --> 115 ( 29)
115 --> 142 ( 19)
116 -->  34 ( 32)
117 --> 174 ( 26)
118 -->  27 ( 11)
119 -->  55 ( 27)
119 --> 105 ( 31)
120 -->  31 ( 13)
121 -->  70 ( 14)
122 -->  95 ( 36)
123 -->  58 ( 32)
123 -->  96 ( 27)
123 --> 189 ( 17)
123 --> 205 ( 21)
124 --> 199 ( 22)
125 -->  58 ( 30)
125 -->  99 ( 33)
126 --> 208 ( 17)
127 -->  14 ( 24)
127 -->  69 ( 28)
127 -->  73 ( 23)
127 -->  99 ( 37)
127 --> 164 ( 37)
127 --> 166 ( 20)
127 --> 202 ( 14)
128 -->  76 ( 29)
128 -->  97 ( 17)
128 --> 113 ( 28)
128 --> 119 ( 18)
129 --> 165 ( 29)
130 -->  61 ( 28)
131 -->  73 (  3)
132 -->  25 ( 18)
133 --> 117 ( 28)
134 --> 168 ( 19)
135 -->  91 ( 13)
