WEIGHTED DIGRAPH 218 398:
  0 --> 174 ( 36)
  1 --> 190 ( 31)
  2 -->  29 ( 26)
  3 --> 148 ( 45)
  3 --> 160 (  9)
  3 --> 212 ( 39)
  4 -->  90 ( 30)
  5 -->   2 ( 27)
  6 --> 106 ( 31)
  7 -->   8 ( 23)
  7 -->  50 ( 14)
  7 -->  76 ( 28)
  7 --> 101 ( 21)
  7 --> 179 ( 39)
  8 -->  41 ( 46)
  8 -->  49 ( 20)
  8 -->  50 ( 34)
  8 -->  58 ( 25)
  8 -->  77 ( 27)
  8 -->  90 ( 31)
  8 --> 132 ( 21)
  8 --> 154 ( 21)
  9 -->  66 ( 14)
 10 -->   3 ( 25)
 10 -->  30 ( 19)
 10 --> 104 ( 23)
 10 --> 121 ( 30)
 10 --> 153 ( 25)
 10 --> 167 ( 26)
 10 --> 204 ( 31)
 11 -->  13 ( 29)
 11 --> 212 ( 33)
 12 --> 178 ( 13)
 13 -->   7 ( 26)
 13 -->  20 ( 21)
 13 -->  34 ( 22)
 14 -->  28 ( 29)
 15 -->  41 ( 17)
 15 --> 125 ( 45)
 15 --> 193 ( 22)
 16 --> 151 ( 21)
 17 -->  19 ( 29)
 18 -->   3 ( 23)
 18 -->  15 ( 29)
 18 -->  58 ( 37)
 19 --> 165 ( 28)
 20 -->  31 ( 33)
 20 --> 132 ( 40)
 21 -->  41 ( 45)
 21 --> 106 ( 35)
 21 --> 134 ( 20)
 21 --> 193 ( 25)
 22 --> 136 ( 27)
 23 -->  94 ( 17)
 24 -->  71 ( 28)
 24 --> 114 ( 17)
 24 --> 120 ( 26)
 24 --> 127 ( 16)
 24 --> 143 ( 37)
 24 --> 160 ( 28)
 24 --> 191 ( 26)
 25 -->  65 ( 16)
 26 --> 154 ( 30)
 26 --> 209 ( 20)
 27 -->  97 ( 16)
 28 -->   5 ( 15)
 29 -->  42 ( 22)
 30 -->  91 ( 17)
 31 -->  10 ( 16)
 31 -->  13 ( 25)
 31 -->  15 ( 25)
 31 -->  60 ( 26)
 32 --> 214 ( 22)
 33 --> 107 ( 27)
