WEIGHTED DIGRAPH 214 394:
  0 -->  52 ( 38)
  1 -->  75 ( 31)
  1 -->  91 ( 23)
  2 --> 185 ( 30)
  3 --> 130 ( 26)
  4 -->  43 ( 32)
  5 -->   9 ( 27)
  6 -->  35 ( 29)
  7 --> 175 ( 29)
  8 -->  37 ( 18)
  9 --> 157 ( 19)
 10 --> 154 ( 33)
 11 -->  27 ( 27)
 12 --> 202 ( 24)
 13 --> 147 (  9)
 14 -->  75 ( 27)
 14 --> 161 ( 34)
 15 -->  28 ( 28)
 16 -->  55 ( 28)
 16 -->  65 ( 12)
 16 -->  78 ( 33)
 16 --> 190 ( 36)
 17 -->  49 ( 43)
 17 -->  77 ( 13)
 17 --> 100 ( 20)
 17 --> 141 ( 23)
 17 --> 190 ( 15)
 18 -->  73 ( 28)
 18 --> 106 ( 13)
 18 --> 137 ( 27)
 18 --> 146 ( 17)
 19 --> 127 ( 28)
 20 --> 145 ( 16)
 21 -->   1 ( 21)
 21 -->  38 ( 43)
 21 -->  50 ( 16)
 21 --> 150 ( 26)
 21 --> 156 ( 16)
 21 --> 166 ( 23)
 21 --> 167 ( 14)
 22 -->  91 ( 34)
 23 --> 112 (  8)
 24 -->  62 ( 15)
 25 -->  15 ( 16)
 26 -->  14 ( 24)
 26 -->  28 ( 24)
 26 -->  40 ( 34)
 26 -->  67 ( 39)
 26 --> 168 ( 30)
 26 --> 190 ( 23)
 27 -->  95 ( 33)
 28 -->  17 ( 23)
 28 -->  24 ( 21)
 28 -->  49 ( 36)
 28 -->  72 ( 18)
 28 --> 107 ( 40)
 28 --> 109 ( 22)
 28 --> 181 ( 25)
 29 -->  76 ( 20)
 30 -->  29 (  6)
 31 -->  94 ( 21)
 32 --> 197 (  8)
 33 -->  18 ( 37)
 33 -->  21 ( 24)
 33 -->  40 ( 34)
 33 --> 101 ( 31)
 33 --> 150 ( 38)
 34 --> 109 ( 19)
 35 --> 184 ( 35)
 36 -->  23 ( 12)
 37 --> 104 ( 19)
 38 -->  16 ( 32)
 38 -->  91 ( 17)
 38 --> 176 ( 15)
 39 --> 162 ( 17)
 40 -->  21 ( 20)
 40 --> 156 ( 41)
 40 --> 161 ( 37)
 40 --> 187 ( 24)
 41 --> 129 ( 33)
 42 --> 204 ( 14)
 43 -->  59 ( 27)
 44 --> 152 ( 26)
 45 --> 122 ( 10)
 46 -->  18 ( 17)
 46 -->  65 ( 16)
 46 -->  89 ( 29)
 46 --> 140 ( 27)
 46 --> 176 ( 25)
 47 --> 118 ( 21)
 48 --> 210 ( 15)
 49 -->  70 ( 28)
 50 --> 166 ( 34)
 50 --> 199 ( 37)
 51 -->   4 ( 39)
 52 --> 139 ( 18)
 53 -->  40 ( 25)
 53 --> 101 ( 19)
 53 --> 137 ( 22)
 53 --> 140 ( 24)
 53 --> 181 ( 21)
 53 --> 194 ( 31)
 54 --> 137 ( 27)
 54 --> 201 ( 19)
 55 -->  53 ( 32)
 55 --> 150 ( 29)
 55 --> 161 ( 36)
 56 -->  41 ( 35)
 57 --> 160 ( 43)
 58 -->  68 ( 34)
 59 --> 133 ( 20)
 60 --> 207 ( 29)
 61 -->  16 ( 41)
 61 -->  89 ( 22)
 61 --> 142 ( 16)
 62 -->  47 ( 14)
 63 --> 166 ( 20)
 64 --> 166 ( 20)
 65 -->  28 ( 10)
 65 -->  54 ( 35)
 65 -->  73 ( 27)
 65 --> 151 ( 15)
 65 --> 156 ( 44)
 65 --> 167 ( 17)
 65 --> 181 ( 42)
 65 --> 208 ( 20)
 66 --> 198 ( 14)
 67 -->  33 ( 30)
 67 --> 106 ( 23)
 67 --> 156 ( 37)
 67 --> 201 ( 22)
 68 -->  79 ( 34)
 69 -->  88 (  9)
 71 --> 111 ( 30)
 72 -->  16 ( 31)
 72 -->  67 ( 26)
 72 -->  73 ( 15)
 72 -->  75 ( 26)
 72 -->  91 ( 32)
 72 --> 141 ( 37)
 72 --> 194 ( 23)
 73 -->  26 ( 27)
 73 -->  38 ( 26)
 74 -->  19 ( 28)
 75 --> 148 ( 24)
 76 -->  87 ( 25)
 77 -->  67 ( 16)
 77 -->  75 ( 31)
 77 --> 166 ( 28)
 78 -->  14 ( 31)
 78 -->  54 ( 16)
 78 --> 106 ( 24)
 78 --> 109 (  3)
 78 --> 167 ( 10)
 78 --> 168 ( 13)
 79 -->  99 ( 24)
 80 --> 153 ( 26)
 81 --> 119 ( 31)
 82 -->  51 ( 13)
 83 --> 178 ( 14)
 84 -->  90 ( 20)
 85 --> 195 ( 25)
 86 --> 138 ( 27)
 87 --> 209 ( 16)
 88 --> 212 ( 19)
 89 -->  54 ( 23)
 89 --> 146 ( 23)
 89 --> 168 ( 20)
 90 --> 200 ( 17)
 91 --> 211 ( 25)
 92 -->  85 ( 22)
 92 --> 102 ( 16)
 92 --> 136 ( 37)
 92 --> 142 ( 11)
 92 --> 201 ( 14)
 93 -->  10 ( 25)
 94 -->   7 ( 15)
 95 --> 159 ( 21)
 96 --> 120 ( 14)
 97 --> 174 ( 35)
 98 -->  66 ( 25)
 99 --> 123 ( 30)
101 --> 140 ( 22)
101 --> 167 ( 33)
102 -->  14 ( 15)
102 -->  28 ( 26)
102 -->  65 ( 31)
102 --> 101 ( 35)
103 --> 205 ( 22)
104 --> 180 ( 35)
105 -->  30 ( 22)
106 -->  21 ( 23)
106 -->  92 ( 12)
106 --> 128 ( 36)
106 --> 141 ( 15)
107 -->  54 ( 28)
107 -->  65 ( 35)
107 --> 166 ( 24)
107 --> 176 ( 11)
107 --> 194 ( 26)
108 --> 128 ( 22)
109 -->  16 ( 25)
109 -->  49 ( 30)
109 -->  60 ( 41)
109 -->  77 ( 26)
109 --> 100 ( 28)
109 --> 136 ( 16)
109 --> 168 ( 19)
109 --> 196 ( 17)
110 --> 155 ( 32)
111 --> 149 ( 23)
112 -->   6 ( 26)
113 -->  16 ( 28)
113 -->  46 ( 11)
113 -->  55 ( 18)
113 --> 102 ( 13)
113 --> 109 ( 27)
113 --> 142 ( 12)
113 --> 150 ( 24)
113 --> 161 ( 29)
114 --> 179 ( 21)
115 -->  64 ( 28)
116 --> 103 (  7)
117 -->  36 ( 23)
118 -->  98 ( 19)
119 -->   2 ( 19)
120 -->  81 ( 26)
121 --> 110 ( 12)
122 -->  97 ( 26)
123 -->  25 ( 25)
124 -->  80 ( 21)
125 --> 115 ( 30)
126 -->  44 ( 13)
127 --> 114 ( 31)
128 -->  14 ( 45)
128 -->  91 ( 21)
128 --> 135 ( 31)
129 -->  57 ( 34)
130 --> 126 ( 26)
131 --> 192 ( 33)
132 --> 121 ( 25)
133 --> 170 ( 26)
134 -->  58 ( 19)
135 --> 164 ( 22)
136 -->  46 ( 24)
136 -->  50 ( 38)
137 -->  16 ( 22)
137 --> 100 ( 34)
137 --> 161 ( 33)
137 --> 208 ( 28)
138 --> 188 ( 22)
139 -->   8 ( 20)
140 -->  92 ( 22)
141 -->  55 ( 42)
141 -->  77 ( 18)
141 -->  89 ( 10)
141 --> 128 ( 27)
142 -->  33 ( 25)
142 -->  53 ( 35)
142 -->  89 ( 32)
