WEIGHTED DIGRAPH 214 394:
  0 -->  30 ( 20)
  0 -->  45 ( 28)
  0 --> 134 ( 41)
  0 --> 184 ( 31)
  0 --> 213 ( 25)
  1 -->   3 ( 30)
  2 -->  39 ( 22)
  3 --> 183 ( 38)
  4 --> 137 ( 21)
  5 --> 130 ( 38)
  6 -->  84 ( 12)
  7 --> 136 (  7)
  8 -->  62 ( 30)
  9 -->  24 ( 25)
  9 -->  48 ( 22)
  9 -->  63 ( 40)
  9 -->  91 ( 17)
  9 --> 156 ( 18)
  9 --> 201 ( 25)
 10 --> 193 ( 42)
 11 -->  47 ( 38)
 12 --> 149 ( 16)
 13 -->  92 ( 25)
 14 --> 176 ( 45)
 15 --> 114 ( 33)
 16 --> 171 ( 11)
 17 -->  93 ( 39)
 18 --> 187 ( 26)
 19 --> 135 ( 11)
 20 -->  87 ( 15)
 21 -->  97 ( 32)
 22 -->  11 ( 28)
 22 -->  27 ( 30)
 22 -->  33 ( 30)
 22 -->  64 (  6)
 22 --> 160 ( 39)
 22 --> 203 ( 30)
 22 --> 209 ( 20)
 23 -->  54 ( 11)
 24 -->  22 ( 18)
 24 -->  28 ( 31)
 25 -->  43 ( 35)
 26 -->  66 ( 22)
 27 -->  64 (  4)
 27 --> 208 ( 41)
 28 -->  71 ( 31)
 28 -->  89 ( 35)
 28 --> 147 ( 13)
 29 -->  48 ( 29)
 29 -->  52 ( 32)
 29 -->  55 ( 43)
 29 -->  80 ( 21)
 29 -->  90 ( 28)
 29 --> 116 (  9)
 30 -->  71 ( 30)
 30 -->  77 ( 21)
 30 -->  80 ( 20)
 31 -->  20 ( 16)
 32 --> 211 ( 13)
 33 -->  71 ( 21)
 33 -->  80 ( 20)
 33 --> 203 ( 17)
 34 --> 102 ( 27)
 34 --> 126 ( 21)
 35 --> 119 (  8)
 36 -->  24 ( 29)
 36 -->  79 ( 22)
 36 --> 108 (  8)
 36 --> 124 ( 20)
 36 --> 201 ( 19)
 37 -->  51 ( 28)
 38 --> 109 ( 29)
 39 --> 115 ( 21)
 40 --> 207 ( 20)
 41 --> 144 ( 46)
 42 -->  57 ( 18)
 43 --> 128 ( 22)
 44 --> 212 ( 43)
 45 -->  28 ( 30)
 45 -->  81 ( 22)
 45 --> 156 ( 20)
 45 --> 203 ( 25)
 45 --> 208 ( 28)
 45 --> 213 ( 23)
 46 -->  94 ( 34)
 47 -->  33 ( 27)
 47 -->  91 ( 14)
 47 --> 151 ( 34)
 49 -->  36 ( 18)
 49 --> 132 ( 21)
 49 --> 147 ( 29)
 49 --> 184 ( 21)
 50 -->  18 ( 30)
 51 --> 189 ( 26)
 52 -->  35 ( 22)
 53 --> 138 ( 28)
 54 -->  56 ( 41)
 55 -->   9 ( 31)
 55 -->  80 ( 23)
 55 --> 151 ( 20)
 55 --> 188 ( 30)
 56 --> 154 ( 37)
 57 -->   0 ( 37)
 57 -->   8 ( 18)
 57 -->  49 ( 33)
 57 --> 194 ( 15)
 58 --> 133 ( 24)
 59 --> 190 ( 18)
 60 --> 101 ( 26)
 61 --> 197 ( 25)
 62 -->  40 ( 33)
 63 -->  11 ( 28)
 63 -->  28 ( 20)
 63 -->  57 ( 27)
 63 -->  74 ( 21)
 63 -->  80 ( 39)
 63 -->  90 ( 28)
 63 --> 102 ( 37)
 63 --> 124 ( 22)
 63 --> 208 ( 27)
 63 --> 209 ( 38)
 64 -->  99 ( 36)
 64 --> 125 ( 14)
 64 --> 151 ( 41)
 65 --> 206 ( 29)
 66 -->  29 ( 20)
 67 --> 170 (  8)
 68 --> 210 ( 20)
 69 --> 168 ( 13)
 70 -->  38 (  8)
 71 -->  36 ( 23)
