WEIGHTED DIGRAPH 222 402:
  0 --> 205 ( 27)
  1 --> 147 ( 30)
  2 -->   0 ( 35)
  3 -->  83 ( 20)
  4 -->  62 ( 31)
  4 -->  87 ( 15)
  4 --> 117 ( 16)
  4 --> 132 ( 19)
  4 --> 219 ( 13)
  4 --> 220 ( 20)
  5 --> 110 ( 18)
  6 --> 134 ( 27)
  7 --> 120 ( 24)
  8 -->  29 ( 18)
  9 -->  99 ( 31)
 10 -->  12 ( 24)
 11 -->  28 ( 37)
 11 --> 100 ( 34)
 11 --> 169 ( 29)
 12 -->  63 ( 23)
 13 --> 125 ( 45)
 14 -->   8 ( 18)
 14 -->  68 ( 10)
 14 --> 131 ( 29)
 14 --> 219 ( 26)
 14 --> 220 ( 17)
 15 --> 137 ( 14)
 16 --> 114 (  7)
 17 -->  39 ( 29)
 18 -->  92 ( 24)
 19 --> 170 ( 27)
 20 --> 213 ( 26)
 21 -->  30 (  7)
 22 --> 150 ( 35)
 23 --> 143 ( 34)
 24 -->  56 ( 35)
 25 -->  13 ( 34)
 26 -->   5 ( 23)
 27 -->  29 ( 29)
 27 -->  78 ( 39)
 27 --> 122 ( 17)
 27 --> 160 ( 13)
 27 --> 211 (  8)
 28 -->  71 (  5)
 28 -->  87 ( 41)
 28 -->  94 ( 46)
 28 --> 106 ( 16)
 28 --> 132 ( 16)
 28 --> 192 ( 18)
 29 -->  55 ( 35)
 29 -->  70 ( 11)
 29 -->  71 ( 20)
 29 -->  72 ( 17)
 29 --> 104 ( 27)
 29 --> 209 ( 33)
 30 -->  16 ( 32)
 31 -->  41 ( 24)
 32 -->  88 ( 23)
 33 --> 152 ( 28)
 34 -->  96 ( 22)
 35 --> 199 ( 21)
 36 -->  23 ( 26)
 37 --> 144 ( 27)
 38 -->   2 ( 24)
 38 -->  29 ( 22)
 38 -->  70 (  5)
 38 -->  87 ( 41)
 38 --> 103 ( 26)
 38 --> 206 ( 11)
 38 --> 213 ( 37)
 39 --> 214 ( 10)
 40 -->  36 ( 26)
 41 -->  43 ( 26)
 42 --> 175 (  4)
 43 -->  42 (  8)
 44 -->  38 ( 35)
 45 -->  58 ( 36)
 46 -->  84 ( 18)
 47 -->  95 ( 37)
 48 --> 193 ( 28)
 49 --> 194 ( 35)
 50 --> 212 ( 18)
 51 -->  17 ( 28)
 52 -->  10 ( 25)
 53 --> 189 ( 19)
 54 -->  28 ( 31)
 54 -->  72 ( 24)
 54 -->  94 ( 31)
 54 --> 158 ( 28)
 54 --> 161 ( 31)
 54 --> 196 ( 23)
 55 -->  38 ( 18)
 55 --> 106 ( 24)
 55 --> 158 ( 31)
 55 --> 173 ( 21)
 55 --> 219 ( 35)
 56 -->  81 ( 37)
 57 --> 179 ( 17)
 58 -->  51 ( 17)
 59 --> 123 ( 19)
 60 --> 153 ( 22)
 61 --> 202 ( 26)
 62 --> 135 ( 23)
 62 --> 139 ( 28)
 62 --> 173 ( 29)
 63 -->  34 ( 13)
 64 -->  40 ( 27)
 65 -->  14 ( 27)
 65 -->  28 ( 15)
 65 --> 158 (  8)
 65 --> 163 ( 26)
 65 --> 178 ( 10)
 65 --> 186 ( 28)
 65 --> 210 ( 12)
 65 --> 220 ( 29)
 66 --> 177 ( 17)
 67 --> 174 ( 19)
 68 --> 140 ( 36)
 69 --> 138 ( 15)
 70 -->  28 ( 27)
 70 --> 186 ( 19)
 71 -->  47 ( 32)
 71 -->  55 ( 26)
 71 --> 163 (  4)
 71 --> 169 ( 28)
 71 --> 192 ( 17)
 72 -->  65 ( 17)
 72 --> 183 ( 23)
 72 --> 220 ( 25)
 73 -->  54 ( 26)
 74 --> 145 ( 38)
 75 --> 121 ( 24)
 76 -->  14 ( 28)
 77 --> 207 ( 35)
 78 -->  71 ( 37)
 78 --> 161 ( 29)
 79 -->  55 ( 15)
 79 -->  70 ( 31)
 79 --> 103 ( 31)
 79 --> 178 ( 36)
 79 --> 202 ( 28)
 79 --> 206 ( 25)
 79 --> 219 ( 26)
 80 -->  76 ( 27)
 81 -->  75 ( 11)
 82 --> 157 ( 18)
 83 --> 159 ( 27)
 84 -->  60 ( 21)
 85 -->  59 ( 28)
 86 --> 221 ( 43)
 87 -->  78 ( 21)
 87 --> 101 ( 23)
 87 --> 111 ( 35)
 87 --> 135 ( 41)
 87 --> 163 ( 19)
 87 --> 180 ( 28)
 88 -->  69 ( 24)
 89 --> 201 ( 45)
 90 -->  52 ( 22)
 91 --> 103 ( 30)
 91 --> 111 ( 29)
 91 --> 178 ( 41)
 92 --> 182 ( 17)
 93 -->  25 ( 37)
 94 -->  11 ( 34)
 94 -->  47 (  5)
 94 -->  87 ( 32)
 94 --> 104 ( 42)
 94 --> 106 ( 32)
 94 --> 129 ( 13)
 95 -->  54 ( 40)
 95 --> 103 ( 34)
 95 --> 104 ( 15)
 95 --> 106 ( 37)
 96 --> 187 ( 21)
 97 --> 200 ( 19)
 98 --> 146 (  9)
 98 --> 192 ( 32)
 99 --> 113 ( 11)
100 --> 111 ( 11)
100 --> 135 ( 31)
100 --> 139 ( 12)
100 --> 158 (  9)
100 --> 160 ( 35)
100 --> 219 ( 27)
101 -->  38 ( 19)
101 --> 129 ( 11)
101 --> 173 ( 43)
102 --> 155 ( 31)
103 -->  55 ( 13)
104 -->  71 ( 19)
104 --> 160 ( 25)
104 --> 180 ( 28)
105 --> 142 ( 29)
106 -->  87 ( 32)
106 -->  98 ( 18)
106 --> 111 ( 24)
106 --> 206 ( 27)
107 --> 126 ( 29)
108 --> 167 ( 22)
109 --> 190 ( 35)
110 -->   3 ( 29)
111 -->  14 ( 26)
112 --> 108 ( 27)
113 --> 151 ( 29)
114 --> 133 ( 23)
115 -->  32 ( 17)
116 -->  61 ( 17)
117 -->  38 ( 26)
117 -->  62 ( 29)
117 -->  79 ( 27)
117 --> 106 ( 11)
117 --> 135 ( 26)
117 --> 146 ( 39)
118 -->  64 ( 24)
119 --> 136 ( 28)
120 --> 164 ( 34)
121 --> 218 ( 23)
122 --> 197 ( 41)
123 -->  89 ( 23)
124 -->  46 ( 35)
125 -->   9 ( 20)
126 --> 102 ( 35)
127 --> 183 ( 20)
128 -->  21 ( 27)
129 -->  37 ( 32)
129 -->  62 (  9)
129 -->  71 ( 32)
129 -->  78 ( 24)
129 --> 131 ( 34)
129 --> 158 ( 30)
129 --> 208 ( 28)
130 --> 154 ( 33)
131 -->   8 ( 14)
131 -->  65 ( 25)
131 -->  71 ( 14)
