WEIGHTED DIGRAPH 212 392:
  0 --> 168 ( 28)
  1 -->  56 ( 36)
  2 -->  81 ( 24)
  2 -->  87 ( 12)
  2 --> 105 ( 25)
  2 --> 106 ( 31)
  3 -->  38 ( 16)
  4 -->  55 ( 32)
  5 -->  45 ( 24)
  6 -->  33 ( 22)
  7 --> 151 ( 29)
  8 -->  27 ( 29)
  8 -->  91 ( 22)
  8 --> 184 ( 41)
  9 --> 139 ( 25)
 10 -->  53 ( 39)
 11 --> 174 ( 26)
 12 -->  97 ( 18)
 13 -->  83 ( 21)
 14 -->  17 ( 26)
 14 -->  61 ( 21)
 14 --> 103 ( 27)
 14 --> 108 ( 11)
 14 --> 111 ( 35)
 14 --> 125 ( 31)
 14 --> 186 ( 13)
 15 -->  10 ( 35)
 16 -->  90 ( 27)
 17 -->  19 ( 17)
 17 -->  70 ( 18)
 17 --> 178 ( 35)
 18 -->  43 ( 21)
 19 -->  77 ( 23)
 19 -->  81 ( 33)
 19 -->  87 ( 16)
 20 -->  96 ( 27)
 21 --> 175 ( 18)
 22 -->  21 ( 25)
 23 --> 202 ( 24)
 24 -->  14 ( 33)
 24 -->  29 ( 16)
 24 -->  77 ( 24)
 25 -->  19 ( 28)
 25 -->  41 ( 29)
 25 --> 109 ( 33)
 25 --> 126 ( 21)
 25 --> 134 ( 31)
 25 --> 162 ( 41)
 25 --> 178 ( 21)
 25 --> 185 ( 18)
 26 --> 189 ( 13)
 27 -->   2 ( 37)
 27 --> 163 ( 20)
 28 -->  20 ( 15)
 29 -->   8 ( 15)
 29 --> 101 ( 23)
 29 --> 105 ( 29)
 29 --> 108 ( 29)
 29 --> 128 ( 17)
 30 -->  54 ( 39)
 31 --> 157 ( 28)
 32 --> 153 ( 37)
 33 --> 190 ( 24)
 34 --> 197 ( 31)
 35 --> 205 ( 14)
 36 -->  29 ( 29)
 36 -->  77 ( 34)
 36 --> 108 ( 25)
 37 --> 105 ( 26)
 38 -->  65 ( 35)
 39 --> 124 ( 16)
 40 --> 149 ( 43)
 41 -->  81 ( 25)
 41 --> 132 ( 27)
 41 --> 186 ( 21)
 42 -->  60 ( 19)
 43 -->  89 ( 14)
 44 -->  64 ( 22)
 45 -->  98 ( 33)
 46 -->   5 ( 43)
 47 --> 191 ( 26)
 48 --> 160 ( 11)
 49 -->  24 ( 35)
 49 -->  36 (  8)
