WEIGHTED DIGRAPH 198 378:
  0 --> 177 ( 21)
  1 -->  90 ( 29)
  2 --> 104 ( 29)
  3 -->  93 ( 27)
  3 --> 101 ( 35)
  3 --> 112 ( 22)
  3 --> 148 (  8)
  3 --> 158 ( 24)
  4 -->  53 ( 28)
  5 --> 158 ( 31)
  5 --> 193 (  7)
  6 -->  71 ( 25)
  7 --> 197 ( 30)
  8 -->  82 ( 30)
  9 -->  77 ( 33)
 10 -->  58 ( 36)
 11 -->  61 ( 12)
 11 -->  80 ( 29)
 11 --> 119 ( 23)
 12 -->  20 ( 26)
 13 -->   0 ( 26)
 14 --> 176 ( 24)
 15 --> 166 ( 20)
 16 -->  87 ( 33)
 16 --> 158 ( 10)
 16 --> 172 ( 26)
 16 --> 192 ( 31)
 17 -->  24 ( 22)
 18 -->  67 ( 30)
 19 -->  33 ( 37)
 19 --> 105 ( 18)
 19 --> 137 ( 19)
 19 --> 139 ( 33)
 19 --> 169 ( 15)
 19 --> 171 ( 24)
 19 --> 174 ( 28)
 19 --> 195 ( 11)
 20 --> 131 ( 41)
 21 --> 138 ( 31)
 22 -->  45 ( 24)
 22 -->  61 ( 17)
 22 --> 179 ( 22)
 23 --> 113 ( 40)
 24 -->  97 ( 10)
 25 -->  48 ( 19)
 26 --> 122 ( 25)
 27 -->   1 ( 21)
 28 --> 186 ( 35)
 29 -->  61 ( 40)
 29 -->  62 ( 25)
 30 --> 196 ( 28)
 31 -->  30 ( 23)
 32 -->  61 ( 24)
 32 -->  62 ( 14)
 32 -->  73 ( 14)
 32 -->  93 ( 31)
 32 --> 142 ( 27)
 32 --> 175 ( 31)
 33 -->   3 ( 40)
 33 -->   5 ( 34)
 33 -->  22 ( 35)
 33 -->  28 ( 18)
 33 -->  61 ( 42)
 33 -->  62 ( 20)
 33 -->  87 ( 27)
 33 --> 137 (  9)
 34 -->  13 ( 30)
 35 --> 128 ( 32)
 36 --> 151 ( 42)
 37 --> 156 ( 17)
 38 -->  29 ( 27)
 38 -->  32 ( 29)
 38 -->  33 ( 18)
 38 -->  59 ( 28)
 38 --> 169 ( 11)
 39 --> 150 ( 37)
 40 -->  42 ( 16)
 40 --> 119 ( 26)
 40 --> 170 ( 32)
 41 -->   7 ( 13)
 42 -->  33 ( 27)
 42 --> 133 ( 22)
 42 --> 159 ( 19)
 42 --> 187 ( 28)
 43 -->  29 ( 12)
 43 -->  60 ( 40)
 43 -->  93 ( 22)
 43 --> 137 ( 24)
 43 --> 169 ( 22)
 44 --> 132 ( 30)
 45 -->  19 ( 28)
 45 -->  29 ( 21)
 45 --> 148 ( 33)
 45 --> 187 ( 26)
 46 --> 124 ( 23)
 47 --> 191 ( 21)
 48 --> 190 ( 19)
 49 -->  52 ( 33)
 50 --> 194 ( 29)
 51 -->  33 ( 22)
 51 -->  35 (  7)
 51 --> 148 ( 29)
 51 --> 170 ( 19)
 52 --> 153 ( 21)
 53 -->  44 ( 15)
 54 --> 173 ( 35)
 55 -->  21 ( 39)
 56 -->  73 ( 30)
 57 -->  68 ( 29)
 58 -->  63 ( 48)
 59 -->  32 ( 26)
 59 -->  33 ( 21)
 59 --> 102 ( 18)
 59 --> 112 ( 27)
 59 --> 119 ( 32)
 60 -->  51 ( 13)
 60 -->  72 ( 15)
 60 --> 141 ( 33)
 60 --> 195 ( 24)
 61 -->  72 ( 31)
 61 -->  91 ( 15)
 61 --> 140 ( 29)
 61 --> 145 ( 27)
 61 --> 169 ( 29)
 61 --> 179 ( 28)
 62 -->  16 ( 19)
 62 -->  87 ( 31)
 62 --> 112 ( 34)
 62 --> 170 ( 16)
 63 -->  81 ( 42)
 64 --> 161 ( 12)
 65 -->  42 ( 23)
 65 -->  43 ( 26)
 65 -->  59 ( 21)
 65 -->  61 ( 24)
 65 --> 133 ( 23)
 66 --> 125 ( 35)
 67 -->  36 ( 16)
 68 --> 120 ( 14)
 69 --> 135 ( 17)
 70 -->  64 ( 11)
 71 -->  42 ( 30)
 72 -->   3 ( 17)
 72 -->   5 ( 32)
 72 -->  16 ( 41)
 72 -->  43 ( 23)
 72 -->  65 (  9)
 72 --> 133 ( 45)
 72 --> 141 ( 28)
 73 -->   3 ( 33)
 73 -->  47 ( 44)
 73 -->  62 ( 31)
 73 -->  96 ( 27)
 73 --> 110 ( 10)
 73 --> 192 ( 35)
 74 --> 169 ( 31)
 75 -->  66 ( 27)
 76 -->  57 ( 30)
 77 -->  85 ( 22)
 78 --> 127 ( 29)
 79 -->  40 ( 22)
 79 -->  62 ( 34)
 79 -->  73 ( 21)
 80 -->  45 ( 27)
 80 -->  60 ( 34)
 80 -->  87 ( 13)
 80 --> 165 (  8)
 80 --> 169 ( 27)
 81 --> 118 ( 26)
 82 --> 110 ( 33)
 82 --> 169 ( 29)
 83 --> 129 ( 22)
 84 --> 180 ( 23)
 85 -->  92 ( 35)
 86 -->  43 ( 22)
 86 -->  65 ( 15)
 86 -->  74 (  7)
 86 -->  87 ( 21)
 86 --> 134 ( 30)
 87 --> 167 ( 25)
 88 -->  25 (  9)
 89 --> 114 ( 13)
 90 --> 112 ( 19)
 91 --> 112 (  9)
 91 --> 165 ( 37)
 91 --> 189 ( 30)
 91 --> 192 ( 13)
 92 -->  87 ( 32)
 93 -->   8 ( 28)
 93 -->  38 ( 38)
 93 -->  62 ( 28)
 93 -->  79 ( 26)
 93 --> 174 ( 40)
 94 -->  51 ( 16)
 95 -->   4 ( 27)
 96 --> 183 ( 34)
 97 -->  46 ( 30)
 98 --> 116 ( 45)
 99 -->  94 ( 40)
100 --> 130 ( 29)
101 --> 168 ( 24)
102 -->  19 ( 26)
102 -->  80 ( 31)
102 --> 133 (  8)
103 -->  10 ( 23)
104 -->   9 ( 24)
105 -->  29 ( 33)
105 -->  60 ( 16)
106 -->  95 ( 20)
107 --> 143 ( 39)
108 -->  89 ( 26)
109 --> 147 ( 23)
110 -->  19 ( 23)
110 -->  61 ( 29)
110 -->  74 ( 36)
111 -->  99 ( 39)
112 -->  26 ( 25)
112 --> 110 ( 16)
113 -->  18 ( 20)
114 -->   6 ( 28)
115 --> 188 ( 33)
116 -->  78 ( 20)
117 -->  76 ( 13)
118 -->  73 ( 23)
119 -->  60 ( 27)
119 --> 102 ( 21)
119 --> 112 ( 24)
119 --> 139 ( 19)
120 --> 154 ( 15)
121 --> 107 ( 38)
122 --> 123 ( 17)
123 --> 181 ( 38)
124 --> 184 ( 36)
125 --> 182 ( 36)
126 -->   3 ( 16)
127 -->  32 ( 20)
128 --> 185 ( 27)
129 --> 178 ( 26)
130 -->  27 (  9)
131 -->  84 ( 20)
132 --> 152 ( 26)
133 -->  79 ( 24)
133 -->  80 ( 28)
133 -->  82 ( 32)
133 --> 119 ( 20)
133 --> 137 ( 14)
134 --> 179 ( 23)
134 --> 192 ( 35)
135 -->  12 ( 23)
136 -->  54 ( 14)
137 --> 142 ( 15)
137 --> 149 ( 31)
137 --> 160 ( 31)
138 -->  56 ( 17)
139 -->  87 ( 40)
139 --> 102 ( 18)
139 --> 142 ( 24)
139 --> 187 (  6)
139 --> 193 ( 25)
140 -->  32 ( 27)
140 -->  59 ( 24)
140 -->  86 ( 17)
140 --> 102 ( 22)
140 --> 119 ( 16)
140 --> 172 ( 27)
140 --> 193 ( 38)
141 -->  38 ( 31)
141 -->  80 ( 32)
141 -->  91 ( 25)
141 --> 133 ( 33)
141 --> 193 ( 37)
142 -->  11 ( 28)
142 -->  43 ( 21)
142 --> 187 ( 19)
143 -->  55 ( 23)
144 -->  98 ( 18)
145 -->  11 ( 38)
145 -->  22 ( 23)
145 -->  72 ( 18)
145 --> 110 ( 21)
145 --> 134 ( 30)
145 --> 148 ( 28)
145 --> 165 ( 28)
146 -->  50 ( 36)
147 --> 117 ( 33)
148 -->  32 ( 30)
148 -->  74 ( 20)
148 --> 141 ( 25)
148 --> 170 ( 28)
149 -->  93 ( 33)
150 -->  14 ( 24)
151 --> 111 ( 25)
152 -->  88 ( 27)
153 --> 146 ( 32)
154 --> 162 ( 26)
155 -->  33 ( 14)
156 --> 121 ( 12)
157 -->  70 ( 35)
158 -->  74 ( 21)
158 --> 105 ( 25)
