WEIGHTED DIGRAPH 184 364:
  0 -->  47 ( 10)
  1 -->  46 (  9)
  2 -->  70 ( 28)
  3 -->  10 ( 36)
  3 --> 131 ( 27)
  3 --> 149 ( 15)
  4 --> 123 ( 23)
  5 --> 114 ( 36)
  6 -->   3 ( 38)
  6 -->  30 ( 32)
  6 -->  91 ( 26)
  6 --> 111 ( 31)
  6 --> 162 ( 18)
  7 --> 109 ( 20)
  8 -->  58 ( 21)
  9 -->  16 ( 25)
  9 --> 104 ( 30)
  9 --> 111 ( 17)
  9 --> 121 ( 20)
  9 --> 139 ( 23)
  9 --> 157 ( 21)
  9 --> 162 (  8)
  9 --> 171 ( 27)
 10 -->  50 ( 24)
 10 --> 168 ( 29)
 11 -->  30 ( 20)
 11 --> 125 ( 24)
 12 -->  36 ( 35)
 13 --> 107 ( 43)
 14 --> 173 ( 30)
 15 -->  30 ( 17)
 15 -->  78 ( 31)
 15 --> 134 ( 16)
 15 --> 140 ( 35)
 15 --> 170 ( 21)
 16 -->  15 ( 27)
 16 --> 104 ( 20)
 16 --> 106 ( 19)
 16 --> 171 ( 26)
 17 -->  57 ( 34)
 18 --> 128 ( 29)
 19 -->  60 ( 24)
 20 --> 169 (  8)
 21 -->   3 ( 30)
 21 -->  10 ( 15)
 21 -->  15 ( 43)
 22 --> 139 ( 29)
 22 --> 140 ( 28)
 23 -->  44 ( 19)
 24 -->  16 ( 22)
 24 -->  45 ( 21)
 24 -->  53 ( 32)
 24 -->  98 ( 24)
 24 --> 125 ( 36)
 25 -->  59 ( 35)
 26 -->  17 ( 16)
 27 -->   5 ( 34)
 28 --> 116 ( 28)
 29 -->  50 (  5)
 29 --> 139 ( 21)
 29 --> 144 ( 20)
 30 -->  64 ( 36)
 30 -->  99 ( 10)
 30 --> 104 ( 23)
 31 -->  32 ( 19)
 32 --> 142 ( 34)
 33 -->  21 ( 27)
 33 --> 136 ( 36)
 33 --> 162 ( 12)
 34 -->  56 ( 18)
 35 -->  92 ( 31)
 36 --> 112 ( 24)
 37 -->  86 ( 20)
 38 -->   4 ( 20)
 39 -->  15 ( 14)
 40 --> 118 ( 28)
