WEIGHTED DIGRAPH 196 376:
  0 -->   3 ( 27)
  1 --> 139 ( 33)
  2 --> 158 ( 26)
  3 --> 143 ( 37)
  4 -->  19 ( 25)
  4 -->  51 (  7)
  4 -->  55 ( 21)
  4 -->  84 (  6)
  4 --> 138 ( 11)
  4 --> 165 ( 19)
  5 -->  56 ( 25)
  6 --> 107 ( 19)
  7 -->  98 ( 22)
  8 --> 131 ( 26)
  9 -->  30 ( 13)
  9 -->  43 ( 12)
  9 -->  55 ( 34)
  9 -->  67 ( 22)
  9 -->  85 ( 25)
  9 --> 152 ( 17)
 10 --> 186 ( 24)
 11 --> 155 ( 27)
 12 -->  11 ( 19)
 13 -->   9 ( 15)
 13 -->  23 ( 21)
 13 -->  30 ( 20)
 13 -->  49 ( 28)
 13 -->  95 ( 26)
 13 --> 154 ( 25)
 14 -->  70 ( 35)
 15 -->  22 ( 13)
 16 --> 122 ( 26)
 17 -->  61 ( 43)
 18 --> 188 ( 32)
 19 -->  56 ( 14)
 19 --> 117 ( 24)
 19 --> 141 ( 37)
 19 --> 157 ( 42)
 20 -->  60 ( 25)
 20 -->  67 ( 36)
 20 --> 117 ( 14)
 20 --> 171 ( 21)
 21 --> 112 ( 29)
 22 --> 179 ( 36)
 23 -->   5 ( 18)
 23 -->  48 ( 33)
 23 --> 148 (  7)
 23 --> 151 ( 27)
 23 --> 154 ( 29)
 24 -->  20 ( 33)
 24 -->  68 ( 19)
 25 -->  60 ( 38)
 26 --> 162 ( 30)
 27 -->  30 ( 25)
 28 -->  97 ( 41)
 29 --> 193 ( 12)
 30 -->  31 ( 24)
 30 -->  81 (  3)
 30 -->  84 ( 18)
 31 --> 136 ( 39)
 32 -->  92 ( 23)
 33 -->  60 ( 18)
 34 -->  17 ( 32)
 35 --> 140 ( 27)
 36 --> 174 ( 22)
 37 -->  93 ( 20)
 38 --> 191 ( 42)
 39 -->  36 ( 13)
 40 -->  48 ( 41)
 41 -->  16 ( 39)
 42 --> 176 (  8)
 43 -->  52 ( 12)
 43 --> 108 ( 31)
 43 --> 138 ( 24)
 43 --> 152 ( 17)
 43 --> 159 ( 16)
 43 --> 168 ( 24)
 43 --> 192 ( 24)
 44 -->  40 ( 19)
 45 --> 115 ( 12)
 46 --> 169 (  5)
 47 -->  96 ( 30)
 48 -->  30 ( 40)
 48 -->  42 ( 23)
 48 -->  49 ( 36)
 48 -->  56 ( 39)
 48 --> 109 ( 25)
 49 -->  81 ( 19)
 49 -->  85 ( 25)
 49 -->  86 ( 34)
 49 -->  94 ( 32)
 49 --> 124 (  8)
 49 --> 149 ( 34)
 49 --> 165 ( 17)
 50 -->   7 ( 37)
 51 -->  64 ( 24)
 51 -->  86 ( 33)
 51 --> 111 ( 34)
 51 --> 148 ( 33)
 51 --> 151 ( 33)
 51 --> 187 ( 14)
 52 -->  20 ( 37)
 52 -->  74 ( 20)
 52 -->  87 ( 25)
 52 --> 172 ( 29)
 53 -->  80 ( 29)
 53 -->  87 ( 14)
 54 --> 175 ( 22)
 55 -->  20 ( 39)
 55 -->  30 ( 23)
 55 -->  42 ( 26)
 55 -->  49 ( 15)
 55 -->  63 ( 22)
 55 -->  85 ( 46)
 55 -->  95 ( 12)
 55 --> 165 ( 14)
 55 --> 170 ( 25)
 56 -->  71 ( 24)
 56 --> 170 ( 18)
 57 -->  47 ( 33)
 58 -->  79 ( 20)
 59 --> 177 ( 17)
 60 -->  46 ( 34)
 60 -->  48 ( 17)
 60 -->  53 ( 24)
 60 --> 100 ( 19)
 60 --> 152 ( 30)
 60 --> 153 ( 27)
 61 -->  73 ( 23)
 62 --> 127 ( 39)
 63 -->  24 ( 34)
 63 --> 192 ( 14)
 64 -->  43 ( 42)
 64 -->  85 ( 23)
 64 --> 152 ( 28)
 65 --> 166 ( 34)
 66 --> 123 ( 18)
 67 -->  13 ( 32)
 67 -->  94 ( 12)
 67 --> 108 ( 10)
 67 --> 142 ( 30)
 67 --> 171 ( 22)
 68 -->  53 ( 12)
 68 -->  56 ( 31)
 68 -->  64 ( 33)
 69 --> 125 ( 14)
 70 -->  60 ( 28)
 71 --> 176 ( 29)
 71 --> 187 ( 38)
 71 --> 192 ( 20)
 72 --> 161 ( 13)
 73 --> 184 ( 31)
 74 -->   5 ( 25)
 74 -->  42 ( 14)
 74 -->  53 ( 23)
 74 -->  84 ( 28)
 74 --> 151 ( 24)
 74 --> 187 ( 27)
 75 -->  76 ( 29)
 76 --> 110 ( 44)
 77 -->  13 ( 13)
 77 -->  64 ( 41)
 77 -->  95 ( 28)
 77 --> 160 ( 15)
 78 -->  18 ( 37)
 79 -->  35 ( 27)
 80 -->  74 ( 26)
 80 -->  87 ( 22)
 80 --> 176 ( 17)
 81 -->  20 ( 20)
 81 -->  24 ( 19)
 81 -->  77 ( 24)
 81 --> 148 (  9)
 81 --> 157 ( 11)
 82 -->  15 ( 33)
 83 --> 150 ( 21)
 84 -->   9 ( 19)
 85 -->  13 ( 30)
 85 -->  56 ( 29)
 85 -->  89 ( 30)
 85 --> 148 (  9)
 86 --> 154 ( 26)
 86 --> 160 ( 33)
 86 --> 165 ( 30)
 86 --> 192 ( 28)
 87 -->  60 ( 21)
 87 -->  63 ( 24)
 87 --> 104 ( 36)
 87 --> 152 ( 39)
 87 --> 157 ( 28)
 87 --> 192 ( 27)
 88 --> 163 ( 22)
 89 -->  30 ( 20)
 89 --> 117 ( 27)
 90 -->   8 ( 31)
 91 -->  57 ( 14)
 92 --> 134 ( 33)
 93 --> 119 ( 14)
 94 -->  19 ( 34)
 94 -->  52 ( 17)
 94 -->  74 ( 29)
 94 --> 170 ( 20)
 95 -->  30 ( 21)
 95 -->  99 ( 34)
 95 --> 148 ( 32)
 96 --> 181 ( 35)
 97 -->  59 ( 17)
 98 -->  54 ( 17)
 99 -->  24 ( 23)
 99 -->  51 ( 18)
 99 --> 134 ( 36)
 99 --> 172 (  8)
100 -->   6 ( 33)
101 -->  50 ( 33)
102 --> 118 ( 41)
103 --> 176 ( 23)
104 -->  30 ( 17)
104 -->  63 ( 21)
104 -->  68 ( 37)
104 -->  95 ( 21)
104 --> 108 ( 30)
104 --> 151 ( 22)
104 --> 170 ( 29)
105 --> 173 ( 31)
106 --> 178 ( 11)
107 -->  75 ( 39)
108 -->   4 ( 22)
108 --> 103 ( 15)
109 --> 164 ( 20)
110 -->   1 ( 28)
111 -->  99 ( 18)
111 --> 148 ( 22)
112 --> 129 ( 24)
113 -->  88 ( 35)
114 --> 137 ( 17)
115 --> 138 ( 25)
116 -->  83 ( 11)
117 -->  99 ( 33)
117 --> 165 ( 38)
118 -->  28 ( 28)
119 --> 120 ( 25)
120 --> 116 ( 31)
121 -->  58 ( 35)
122 -->  38 ( 39)
123 --> 113 ( 17)
124 -->  30 ( 41)
124 -->  68 ( 19)
124 -->  80 ( 34)
124 --> 170 (  3)
125 -->   2 ( 25)
126 -->  37 ( 29)
127 --> 102 ( 19)
128 --> 126 ( 38)
129 -->  34 ( 25)
130 -->  44 ( 27)
131 -->  45 ( 23)
132 --> 195 ( 23)
133 --> 183 ( 23)
134 -->   4 ( 20)
134 -->  63 ( 25)
134 --> 104 ( 31)
134 --> 121 ( 20)
134 --> 152 ( 28)
134 --> 172 ( 32)
135 -->  62 ( 21)
136 -->  21 ( 16)
137 --> 182 ( 19)
138 -->   9 ( 12)
138 -->  30 ( 21)
138 -->  69 ( 19)
138 -->  84 ( 22)
138 --> 103 (  8)
138 --> 168 ( 24)
139 --> 130 ( 23)
140 -->   0 ( 21)
141 --> 146 ( 26)
142 --> 167 ( 26)
143 -->  78 ( 25)
144 -->  29 ( 39)
145 -->  25 ( 20)
146 -->  72 ( 20)
147 --> 189 ( 47)
148 -->   4 ( 34)
148 -->  48 ( 43)
148 -->  67 ( 26)
148 -->  80 ( 24)
149 -->  24 ( 36)
149 -->  52 ( 11)
149 -->  55 ( 31)
149 --> 160 ( 38)
149 --> 168 ( 23)
149 --> 171 ( 34)
150 -->  19 ( 27)
151 -->  48 ( 43)
151 -->  64 ( 23)
152 -->  81 ( 31)
152 --> 108 ( 25)
153 -->  82 ( 26)
154 -->  74 ( 30)
154 --> 165 ( 22)
155 --> 194 ( 24)
156 --> 105 ( 36)
157 -->  23 ( 24)
157 -->  24 ( 47)
157 -->  63 ( 17)
158 --> 147 ( 38)
159 -->  89 ( 24)
159 --> 104 ( 16)
159 --> 138 ( 10)
159 --> 187 ( 27)
160 -->  13 ( 16)
160 -->  63 ( 27)
160 -->  81 ( 19)
160 --> 103 ( 27)
160 --> 148 ( 32)
160 --> 187 ( 16)
161 -->  27 ( 21)
162 -->  12 ( 31)
163 --> 114 ( 26)
164 --> 185 ( 25)
165 -->   9 ( 18)
165 -->  51 ( 29)
165 -->  56 ( 13)
165 -->  63 ( 34)
165 -->  68 ( 30)
165 -->  80 ( 20)
165 -->  81 ( 16)
165 --> 138 ( 37)
165 --> 151 ( 11)
165 --> 168 ( 23)
166 --> 190 ( 20)
167 --> 106 ( 23)
168 -->   9 ( 18)
168 -->  52 ( 37)
168 --> 108 ( 19)
168 --> 152 ( 30)
168 --> 157 ( 21)
169 --> 132 ( 17)
170 -->   4 ( 19)
170 --> 149 ( 27)
171 --> 144 ( 29)
171 --> 148 ( 27)
171 --> 157 ( 29)
173 -->  90 ( 18)
174 --> 101 ( 31)
175 --> 133 ( 15)
176 -->  13 ( 27)
176 -->  43 ( 30)
176 -->  85 ( 26)
176 -->  89 ( 37)
177 -->  32 ( 24)
178 -->  65 ( 30)
179 -->  10 ( 22)
180 -->  33 ( 31)
181 -->  41 ( 26)
182 -->  67 ( 12)
183 -->  66 ( 16)
184 --> 128 ( 33)
185 --> 180 ( 22)
186 -->  91 ( 17)
187 -->  80 ( 27)
