WEIGHTED DIGRAPH 208 388:
  0 -->  77 ( 27)
  1 --> 156 ( 26)
  2 -->  25 ( 10)
  3 -->  18 ( 24)
  3 -->  26 ( 32)
  3 -->  82 ( 26)
  3 --> 130 ( 20)
  3 --> 151 ( 14)
  3 --> 181 ( 28)
  3 --> 194 ( 18)
  4 -->  80 ( 33)
  5 --> 103 ( 19)
  6 -->  63 ( 23)
  6 -->  70 ( 23)
  6 --> 100 ( 29)
  6 --> 101 ( 10)
  6 --> 157 ( 31)
  6 --> 188 ( 38)
  7 --> 123 ( 29)
  8 --> 110 ( 29)
  9 -->  92 ( 30)
 10 -->  52 ( 29)
 10 --> 107 ( 16)
 10 --> 130 ( 17)
 10 --> 146 (  9)
 10 --> 184 ( 34)
 11 -->  43 ( 21)
 12 -->  66 ( 21)
 12 -->  70 ( 17)
 12 -->  95 ( 30)
 12 --> 126 ( 20)
 12 --> 173 ( 40)
 13 -->  21 ( 18)
 14 -->  16 ( 18)
 15 --> 166 ( 30)
 16 --> 148 ( 18)
 17 -->  47 ( 16)
 18 --> 113 ( 29)
 18 --> 150 ( 15)
 19 --> 191 ( 23)
 20 --> 115 ( 15)
 21 --> 179 ( 29)
 22 -->   5 ( 16)
 22 -->  99 ( 10)
 22 --> 116 ( 44)
 23 -->  17 ( 27)
 24 --> 105 ( 40)
 25 -->   1 ( 31)
 26 -->  68 ( 12)
 26 --> 181 ( 45)
 27 --> 186 ( 20)
 28 --> 185 ( 21)
 29 -->  57 ( 34)
 30 -->  95 ( 23)
 30 --> 101 ( 37)
 30 --> 163 ( 31)
 30 --> 178 ( 32)
 31 -->  94 ( 43)
 32 --> 198 ( 23)
 33 -->  69 ( 14)
 34 -->  60 ( 22)
 35 --> 155 ( 19)
 36 -->  53 ( 25)
 37 --> 114 ( 27)
 38 -->  36 ( 35)
 39 -->  62 ( 32)
 40 -->  89 ( 24)
 41 -->  11 ( 28)
 42 --> 161 ( 18)
 43 --> 141 ( 20)
 44 -->  22 ( 18)
 45 -->  44 ( 18)
 46 -->  33 ( 36)
 47 --> 121 ( 26)
 48 --> 193 ( 18)
 49 --> 144 ( 31)
 50 -->  96 ( 20)
 51 -->  30 ( 18)
 51 -->  31 ( 27)
 51 -->  68 ( 14)
 51 --> 137 ( 27)
 51 --> 163 ( 15)
 52 -->  18 ( 25)
 52 --> 106 ( 44)
 52 --> 143 ( 16)
 52 --> 157 ( 28)
 52 --> 173 ( 29)
 52 --> 181 ( 27)
 53 --> 167 ( 21)
 54 -->  81 ( 28)
 55 -->  39 ( 23)
 56 -->  30 ( 20)
 57 -->  58 ( 29)
 58 -->  71 ( 30)
 59 --> 111 ( 14)
 59 --> 142 ( 26)
 59 --> 199 ( 34)
 60 -->  27 ( 32)
 61 -->  49 ( 34)
 62 -->   7 ( 35)
 63 -->  12 ( 30)
 63 --> 107 ( 20)
 63 --> 146 ( 25)
 64 -->   6 ( 15)
 64 -->  18 ( 21)
 65 --> 172 ( 20)
 66 -->  64 (  7)
 66 --> 109 ( 35)
 66 --> 169 ( 25)
 67 --> 200 ( 23)
 68 -->  70 ( 26)
 68 --> 177 ( 18)
 68 --> 182 ( 36)
 68 --> 195 ( 29)
 68 --> 199 ( 24)
