WEIGHTED DIGRAPH 214 394:
  0 -->  25 ( 36)
  1 --> 142 ( 30)
  2 -->  40 ( 24)
  3 -->  13 ( 14)
  3 -->  61 ( 29)
  3 -->  82 ( 27)
  3 --> 171 (  9)
  3 --> 200 ( 34)
  4 --> 187 ( 25)
  5 -->   7 (  4)
  5 -->  44 ( 22)
  5 -->  67 ( 34)
  5 -->  88 ( 21)
  5 --> 111 ( 24)
  6 --> 162 ( 31)
  7 -->  39 ( 19)
  7 -->  61 ( 19)
  7 -->  71 ( 15)
  7 -->  79 ( 32)
  7 -->  82 ( 23)
  7 -->  85 ( 24)
  7 --> 145 ( 16)
  8 -->  97 ( 28)
  9 -->   7 ( 22)
  9 -->  71 ( 24)
  9 -->  82 ( 35)
  9 -->  94 ( 32)
  9 --> 110 ( 20)
  9 --> 191 ( 20)
  9 --> 200 ( 31)
 10 -->  22 ( 23)
 10 -->  48 ( 17)
 10 --> 106 ( 27)
 10 --> 126 ( 33)
 10 --> 148 ( 36)
 10 --> 192 ( 29)
 11 -->  41 ( 27)
 12 --> 109 ( 28)
 13 -->  76 ( 29)
 13 --> 127 ( 21)
 13 --> 194 ( 25)
 13 --> 203 ( 12)
 14 -->  52 ( 32)
 15 -->  32 ( 17)
 16 --> 183 ( 37)
 17 --> 136 ( 33)
 18 --> 146 ( 28)
 19 --> 207 ( 31)
 20 --> 178 ( 40)
 21 -->  31 ( 20)
 22 -->  76 ( 12)
 22 -->  83 ( 35)
 22 --> 129 ( 25)
 22 --> 194 ( 33)
 23 --> 164 ( 19)
 24 --> 157 ( 26)
 25 -->  11 ( 30)
 26 -->  51 ( 22)
 27 -->  56 ( 25)
 28 -->  90 ( 21)
 29 -->  84 ( 29)
 30 --> 132 ( 32)
 31 -->   1 ( 31)
 32 --> 104 ( 20)
 33 -->  54 ( 35)
 34 --> 211 ( 25)
 35 -->  60 ( 27)
 35 -->  70 ( 22)
 35 --> 203 ( 19)
 35 --> 206 ( 24)
 35 --> 213 ( 19)
 36 --> 147 ( 12)
 37 -->  21 ( 31)
 38 --> 105 ( 33)
 39 -->  13 ( 17)
 39 -->  35 ( 35)
 39 --> 119 ( 32)
 39 --> 122 ( 40)
 39 --> 163 ( 13)
 40 -->  62 ( 23)
 41 --> 124 ( 24)
 42 --> 106 ( 23)
 42 --> 131 ( 27)
 42 --> 194 ( 22)
 42 --> 202 ( 27)
 43 -->   9 ( 26)
 44 --> 195 ( 17)
 45 --> 118 ( 36)
 46 -->  12 ( 19)
 47 -->  44 ( 28)
 48 -->  61 ( 19)
 48 -->  79 ( 16)
 48 -->  93 ( 20)
 48 --> 100 ( 33)
 48 --> 101 ( 26)
 48 --> 148 ( 10)
 49 -->  37 ( 24)
 50 --> 128 ( 32)
 51 --> 158 ( 41)
 52 --> 140 ( 22)
 53 --> 120 ( 30)
 54 --> 198 ( 24)
 55 --> 125 ( 34)
 56 --> 103 ( 18)
 57 --> 156 (  8)
 58 -->  26 ( 30)
 59 -->   3 ( 29)
 59 --> 148 ( 29)
 60 -->  48 ( 31)
 60 -->  84 ( 32)
 60 --> 174 ( 27)
 60 --> 194 ( 25)
 61 -->  10 ( 38)
 61 --> 174 ( 29)
 62 -->   7 ( 44)
 62 -->  93 ( 23)
 62 --> 159 ( 43)
 62 --> 212 ( 15)
 63 -->  24 ( 22)
 64 -->  68 ( 14)
 65 -->  45 ( 29)
 66 -->   6 ( 32)
 67 -->   9 ( 37)
 67 -->  10 ( 16)
 67 -->  60 ( 31)
 67 --> 194 ( 35)
 68 -->  18 ( 39)
 69 -->  78 ( 33)
 70 -->  44 ( 30)
 70 -->  85 ( 26)
 71 -->  48 ( 40)
 71 -->  60 ( 16)
 71 -->  85 ( 24)
 71 --> 111 ( 20)
 71 --> 191 ( 20)
 72 --> 204 ( 17)
 73 --> 160 ( 39)
 74 -->  57 (  9)
 75 -->  42 ( 32)
 75 --> 159 ( 31)
 76 -->  84 ( 40)
 76 --> 127 ( 22)
 76 --> 145 ( 35)
 76 --> 159 ( 21)
 76 --> 163 ( 27)
 76 --> 174 ( 29)
 77 --> 182 ( 21)
 78 --> 176 ( 18)
 79 -->   9 ( 22)
 79 -->  75 ( 14)
 80 --> 194 ( 26)
 80 --> 206 ( 26)
 81 -->  69 ( 18)
 82 -->  44 ( 27)
 83 -->   3 ( 26)
 83 -->  13 ( 36)
 83 -->  48 ( 26)
 83 -->  60 ( 36)
 83 -->  62 ( 11)
 83 -->  82 ( 34)
 83 --> 122 ( 35)
 84 -->  22 ( 14)
 84 -->  48 ( 33)
 84 -->  80 ( 25)
 84 -->  94 ( 13)
 84 --> 102 ( 40)
 84 --> 111 ( 21)
 84 --> 122 ( 39)
 85 -->   5 ( 13)
 85 -->  22 ( 34)
 86 --> 210 ( 37)
 87 -->   7 ( 16)
 87 --> 101 (  8)
 87 --> 106 ( 18)
 87 --> 153 ( 46)
 88 -->  95 ( 21)
 89 -->  47 ( 32)
 90 --> 161 ( 31)
 91 --> 114 ( 27)
 92 --> 168 ( 19)
 93 -->  10 ( 43)
 93 -->  59 ( 30)
 93 -->  67 ( 40)
 93 -->  75 ( 34)
 93 -->  76 ( 42)
 93 --> 119 ( 25)
 93 --> 148 ( 24)
 93 --> 203 ( 22)
 94 --> 145 ( 25)
 94 --> 174 ( 26)
 94 --> 192 ( 28)
 95 --> 173 ( 22)
 96 -->   4 ( 21)
 97 --> 139 ( 34)
 98 --> 184 ( 16)
 99 --> 154 ( 35)
100 -->  39 ( 32)
100 -->  80 (  8)
100 -->  82 ( 27)
100 --> 122 ( 20)
100 --> 133 ( 22)
100 --> 148 ( 25)
100 --> 153 ( 29)
101 -->  13 ( 20)
101 -->  85 ( 23)
102 --> 177 ( 23)
103 -->  98 ( 15)
104 -->  73 ( 15)
105 -->  91 ( 21)
106 -->   8 ( 42)
106 -->  76 ( 11)
106 -->  84 ( 28)
106 --> 176 ( 33)
107 -->  72 ( 30)
108 -->   0 ( 36)
109 -->  64 ( 32)
110 -->  58 ( 31)
111 -->   7 ( 26)
111 --> 100 ( 29)
111 --> 194 ( 15)
112 --> 134 ( 26)
113 -->  29 ( 21)
114 -->  14 ( 21)
115 --> 141 ( 36)
116 --> 138 ( 21)
117 --> 150 ( 25)
118 --> 149 ( 20)
119 -->  22 ( 18)
119 -->  70 ( 25)
119 -->  94 ( 16)
119 --> 205 ( 37)
120 --> 117 ( 23)
121 --> 190 ( 28)
122 -->   7 ( 28)
122 -->  48 ( 14)
122 -->  87 ( 27)
122 --> 159 ( 32)
123 -->  63 ( 40)
124 -->  28 ( 37)
125 -->  27 ( 30)
126 -->   7 ( 14)
126 -->  60 ( 31)
126 -->  62 ( 22)
126 -->  71 ( 30)
126 --> 131 ( 31)
126 --> 213 ( 24)
127 -->  44 ( 17)
127 -->  87 ( 22)
128 --> 189 ( 20)
129 -->  75 ( 22)
129 -->  93 ( 19)
129 --> 100 ( 15)
129 --> 176 ( 30)
129 --> 200 ( 38)
130 --> 185 ( 29)
131 -->  22 ( 23)
131 -->  84 ( 25)
131 --> 127 ( 35)
131 --> 202 ( 41)
132 --> 115 (  9)
133 --> 107 ( 25)
134 --> 193 ( 36)
135 -->  55 ( 22)
136 -->  19 ( 22)
137 -->  16 ( 30)
138 --> 175 ( 10)
139 -->  77 ( 31)
140 --> 199 ( 37)
141 --> 208 ( 16)
142 --> 112 ( 18)
143 --> 145 ( 28)
143 --> 174 ( 27)
143 --> 176 ( 28)
143 --> 191 ( 29)
144 --> 121 ( 11)
145 -->  35 ( 25)
145 -->  82 ( 38)
145 --> 106 ( 23)
145 --> 176 ( 34)
146 -->  65 ( 31)
147 -->  96 ( 34)
148 -->  67 ( 36)
148 --> 111 ( 21)
148 --> 122 ( 19)
148 --> 176 ( 45)
148 --> 191 ( 24)
148 --> 192 ( 27)
149 --> 167 ( 20)
150 -->   9 ( 31)
150 -->  13 ( 35)
150 -->  44 ( 25)
150 --> 116 ( 17)
151 -->  74 ( 28)
152 -->  66 ( 25)
153 -->  60 ( 35)
153 --> 191 ( 26)
154 -->  92 ( 10)
155 -->  99 ( 20)
156 --> 179 ( 38)
157 --> 181 ( 23)
158 --> 188 ( 17)
159 --> 203 ( 29)
160 -->  30 ( 32)
161 --> 176 ( 20)
162 --> 165 ( 17)
163 -->  44 ( 36)
164 -->  46 ( 30)
165 --> 108 ( 23)
166 --> 151 ( 30)
167 --> 130 ( 29)
168 --> 166 ( 34)
169 -->  36 ( 34)
170 --> 155 ( 24)
171 -->  71 ( 18)
171 --> 111 ( 34)
171 --> 194 ( 31)
171 --> 213 ( 18)
172 -->  23 ( 42)
173 --> 172 ( 18)
174 -->   5 ( 33)
174 -->  13 ( 33)
174 -->  35 ( 30)
174 -->  39 ( 25)
174 -->  44 ( 34)
174 -->  79 ( 12)
174 --> 171 ( 26)
175 -->  50 ( 35)
176 -->  20 ( 29)
176 --> 186 ( 28)
177 --> 152 ( 28)
178 -->  17 ( 23)
179 -->   2 ( 34)
180 --> 209 ( 44)
181 --> 169 ( 25)
182 -->  53 ( 33)
183 -->  33 ( 20)
184 -->  34 ( 17)
185 --> 100 ( 11)
186 -->  38 ( 25)
187 -->   5 ( 21)
188 -->  86 ( 32)
189 --> 106 ( 30)
190 --> 123 (  5)
191 -->  48 ( 27)
191 -->  61 ( 32)
192 -->   3 ( 25)
192 -->  13 ( 36)
192 -->  35 ( 18)
192 -->  87 ( 21)
192 --> 131 ( 17)
192 --> 196 ( 15)
192 --> 203 ( 21)
193 --> 170 ( 18)
194 -->  79 ( 35)
194 --> 191 ( 18)
195 -->  49 ( 27)
196 -->  13 ( 26)
196 --> 143 ( 15)
197 -->  81 ( 19)
198 --> 135 ( 39)
199 -->  43 (  5)
200 -->   7 ( 22)
200 -->  10 ( 21)
200 --> 101 ( 24)
201 -->  89 ( 16)
202 -->  82 ( 22)
202 --> 111 ( 24)
202 --> 148 ( 32)
202 --> 205 ( 28)
203 -->  39 ( 35)
203 -->  71 ( 32)
203 -->  76 ( 22)
204 --> 144 ( 30)
205 -->  62 ( 29)
205 --> 191 ( 43)
205 --> 203 ( 20)
206 -->   9 ( 19)
206 --> 122 ( 13)
206 --> 153 ( 20)
206 --> 163 ( 27)
206 --> 203 ( 13)
207 -->  15 ( 17)
208 --> 113 ( 30)
209 --> 201 ( 22)
210 --> 197 ( 26)
211 --> 180 ( 21)
212 --> 137 ( 30)
213 -->  70 ( 31)
213 -->  93 ( 37)
213 -->  94 ( 41)
213 --> 100 ( 33)
213 --> 174 ( 28)
213 --> 202 ( 36)
213 --> 206 ( 24)
