WEIGHTED DIGRAPH 222 402:
  0 --> 114 ( 27)
  1 --> 129 (  9)
  2 -->  57 ( 24)
  3 -->  92 ( 33)
  4 -->  53 ( 34)
  5 -->  91 ( 29)
  6 -->   7 ( 18)
  7 --> 121 ( 24)
  8 --> 150 ( 28)
  9 --> 144 ( 43)
 10 --> 215 ( 31)
 11 --> 193 ( 39)
 12 --> 122 ( 30)
 13 -->  21 ( 15)
 14 --> 130 ( 20)
 15 -->  29 ( 20)
 15 -->  71 ( 22)
 15 -->  94 ( 18)
 15 --> 109 ( 20)
 15 --> 168 ( 17)
 15 --> 210 ( 19)
 16 -->  56 ( 31)
 16 -->  61 ( 31)
 16 --> 123 ( 18)
 16 --> 166 ( 14)
 16 --> 174 ( 22)
 17 -->   0 ( 37)
 18 --> 159 ( 25)
 19 -->  26 ( 10)
 19 -->  29 ( 26)
 19 --> 127 ( 26)
 19 --> 174 ( 26)
 20 --> 188 (  8)
 21 -->  31 ( 28)
 22 --> 221 ( 30)
 23 --> 146 ( 30)
 23 --> 162 ( 22)
 24 -->  55 ( 20)
 25 -->  23 ( 33)
 25 --> 101 ( 35)
 25 --> 145 ( 24)
 26 -->  71 ( 26)
 26 --> 164 ( 33)
 26 --> 168 ( 26)
 27 -->  76 ( 22)
 28 --> 209 ( 32)
 29 -->  49 ( 35)
 29 -->  70 ( 32)
 29 -->  94 ( 25)
 30 --> 128 ( 33)
 31 -->  60 ( 32)
 32 --> 203 ( 43)
 33 -->  34 (  7)
 34 --> 110 ( 31)
 35 -->  32 ( 19)
 36 -->  47 ( 27)
 37 -->  10 ( 25)
 38 -->   4 ( 34)
 39 --> 200 ( 18)
 40 --> 154 ( 20)
 41 -->  89 ( 35)
 41 --> 164 ( 39)
 42 -->   5 ( 33)
 43 -->  67 ( 23)
 43 --> 134 ( 36)
 43 --> 171 ( 25)
 43 --> 183 ( 44)
 43 --> 192 ( 20)
 43 --> 211 ( 17)
 44 -->  50 ( 23)
 45 --> 162 ( 20)
 46 --> 205 ( 25)
 47 --> 113 ( 23)
 48 -->  35 ( 29)
 49 -->  58 ( 25)
 49 -->  62 ( 17)
 49 -->  90 ( 19)
 49 --> 157 ( 33)
 50 --> 197 ( 28)
 51 --> 138 ( 32)
 52 -->  93 ( 22)
 53 --> 105 ( 34)
 54 -->  17 ( 12)
 55 -->  44 ( 30)
 56 -->  19 ( 21)
 56 -->  23 ( 28)
 56 -->  49 ( 23)
 56 -->  61 ( 27)
 56 -->  79 ( 34)
 56 -->  90 ( 33)
 56 --> 157 ( 19)
 56 --> 216 ( 19)
 57 --> 165 ( 21)
 58 -->  90 ( 31)
 58 --> 109 (  9)
 58 --> 117 ( 23)
 58 --> 143 (  8)
 58 --> 157 ( 14)
 59 --> 151 ( 16)
 60 -->  28 ( 27)
 61 -->  19 ( 36)
 61 -->  41 ( 34)
 61 -->  49 ( 22)
 61 --> 162 ( 31)
 61 --> 210 ( 25)
 62 --> 134 ( 47)
 62 --> 143 ( 26)
 62 --> 194 (  8)
 63 -->  22 ( 29)
 64 --> 153 ( 24)
 65 -->  14 ( 15)
 66 -->  46 ( 27)
 67 -->  12 ( 34)
 67 --> 119 ( 17)
 67 --> 145 ( 15)
 67 --> 183 ( 24)
 67 --> 189 ( 42)
 67 --> 208 ( 18)
 68 -->  81 ( 27)
 69 --> 147 ( 34)
 70 -->  12 ( 20)
 70 -->  89 ( 37)
 70 --> 150 ( 33)
 70 --> 157 ( 24)
 70 --> 208 ( 15)
 71 -->  16 ( 18)
 71 -->  41 ( 35)
 71 --> 162 ( 16)
 71 --> 168 ( 28)
 72 -->   6 ( 20)
 73 -->  39 ( 36)
 74 --> 125 ( 39)
 75 --> 201 ( 33)
 76 --> 169 ( 32)
 77 --> 109 ( 32)
 78 --> 102 ( 38)
 79 -->  19 ( 24)
 79 -->  67 ( 47)
 79 --> 122 ( 31)
 79 --> 146 ( 18)
 79 --> 162 ( 17)
 79 --> 166 ( 33)
 79 --> 220 ( 18)
 80 --> 149 ( 27)
 81 -->  24 ( 40)
 82 -->  65 ( 31)
 83 --> 148 ( 18)
 84 -->  74 ( 22)
 85 --> 217 ( 20)
 86 -->  51 ( 23)
 87 -->  13 ( 27)
 88 --> 126 ( 26)
