WEIGHTED DIGRAPH 202 382:
  0 -->  50 ( 18)
  0 --> 187 ( 16)
  1 -->  33 ( 30)
  2 -->   1 ( 20)
  3 --> 102 ( 35)
  4 --> 166 ( 28)
  5 -->  88 ( 25)
  5 --> 140 ( 33)
  6 -->  90 ( 18)
  7 -->  58 ( 30)
  8 -->  17 ( 28)
  9 -->  32 ( 16)
  9 -->  78 ( 29)
  9 --> 147 ( 39)
  9 --> 155 ( 26)
  9 --> 198 (  8)
 10 -->   9 ( 32)
 10 --> 113 ( 30)
 10 --> 121 ( 17)
 10 --> 188 ( 14)
 11 -->  63 ( 16)
 12 --> 171 ( 30)
 13 -->  52 ( 28)
 13 --> 107 ( 34)
 13 --> 134 ( 18)
 13 --> 139 ( 36)
 13 --> 195 ( 21)
 14 -->   9 ( 22)
 14 --> 122 ( 19)
 14 --> 157 ( 13)
 15 -->  32 ( 37)
 15 --> 198 ( 31)
 16 -->   4 ( 23)
 17 --> 134 ( 17)
 18 -->  97 ( 15)
 19 --> 100 ( 22)
 20 -->  73 ( 45)
 20 --> 122 ( 13)
 20 --> 135 ( 33)
 20 --> 140 ( 29)
 21 -->  87 ( 19)
 22 -->  76 ( 24)
 23 -->  61 ( 20)
 24 -->  10 ( 21)
 24 -->  88 ( 18)
 24 --> 198 ( 18)
 25 -->  79 ( 39)
 26 --> 137 ( 21)
 27 -->   3 ( 20)
 28 -->  64 ( 12)
 29 -->  51 ( 23)
 30 --> 152 ( 15)
 31 -->  35 ( 19)
 32 -->  10 ( 27)
 32 --> 139 ( 38)
 32 --> 157 ( 21)
 33 --> 162 ( 23)
 34 --> 196 ( 18)
 35 -->  91 ( 18)
 36 -->  56 ( 33)
 37 -->  28 ( 23)
 38 -->  48 ( 26)
 39 --> 175 (  9)
 40 --> 170 ( 23)
 41 -->  60 ( 35)
 42 --> 181 (  9)
 43 --> 191 ( 23)
 44 -->  62 ( 26)
 45 --> 158 ( 16)
 46 -->  11 ( 31)
 47 -->  57 ( 26)
 48 -->  89 ( 44)
 49 --> 107 ( 16)
 49 --> 168 ( 23)
 49 --> 182 ( 15)
 50 -->  10 ( 13)
 50 --> 133 ( 28)
 50 --> 198 ( 35)
 51 -->  20 ( 29)
 51 -->  96 ( 22)
 51 --> 106 ( 31)
 51 --> 182 ( 34)
 51 --> 186 ( 25)
 51 --> 196 ( 17)
