WEIGHTED DIGRAPH 190 370:
  0 --> 183 ( 24)
  1 -->  26 ( 36)
  2 --> 152 ( 25)
  3 -->  17 ( 13)
  3 -->  44 ( 19)
  3 -->  94 ( 17)
  3 --> 106 ( 29)
  3 --> 109 ( 24)
  3 --> 130 ( 19)
  3 --> 141 ( 32)
  4 --> 112 ( 30)
  5 --> 181 ( 29)
  6 -->  98 ( 31)
  7 -->  71 ( 16)
  7 --> 130 ( 25)
  7 --> 134 ( 20)
  7 --> 145 ( 22)
  8 -->   3 ( 28)
  8 -->  16 ( 19)
  8 --> 149 ( 42)
  9 -->  79 ( 17)
 10 --> 173 ( 25)
 11 --> 167 ( 22)
 12 --> 129 ( 39)
 13 -->  66 ( 24)
 14 -->   3 ( 22)
 14 -->  31 ( 19)
 14 -->  76 ( 13)
 15 -->   5 ( 37)
 16 --> 155 ( 23)
 17 --> 147 ( 21)
 17 --> 157 ( 35)
 18 -->  23 ( 38)
 18 -->  72 ( 32)
 18 -->  78 ( 21)
 18 -->  91 ( 24)
 18 --> 140 ( 21)
 18 --> 157 ( 32)
 19 -->  31 ( 22)
 19 -->  36 ( 31)
 19 -->  72 ( 31)
 19 --> 148 ( 18)
 20 --> 142 ( 33)
 21 -->  70 ( 15)
 22 --> 110 ( 25)
 23 --> 124 ( 26)
 23 --> 141 ( 17)
 24 -->   9 ( 24)
 25 --> 160 ( 19)
 26 -->  89 ( 34)
 27 --> 108 ( 26)
 28 -->  62 ( 14)
 29 -->  32 ( 33)
 30 --> 145 ( 28)
 31 -->  41 ( 21)
 31 -->  76 ( 28)
 31 -->  94 ( 26)
 31 -->  99 ( 26)
 31 --> 144 ( 20)
 31 --> 166 ( 21)
 32 --> 176 ( 29)
 33 --> 104 ( 26)
 34 --> 171 ( 20)
 35 -->  19 ( 26)
 35 -->  72 ( 27)
 35 --> 105 ( 25)
 35 --> 168 ( 21)
 36 -->  66 ( 30)
 36 -->  78 ( 14)
 36 -->  83 ( 19)
 36 -->  88 ( 24)
 37 -->  56 ( 18)
 38 --> 103 ( 26)
 39 -->  38 ( 19)
 40 --> 132 ( 28)
 41 -->  95 ( 25)
 41 --> 124 ( 25)
 41 --> 141 ( 14)
 41 --> 168 ( 37)
 42 -->  84 ( 19)
 43 -->  17 ( 28)
 43 --> 110 ( 23)
 43 --> 114 ( 37)
 43 --> 134 ( 38)
 43 --> 138 ( 27)
 43 --> 149 ( 22)
 44 -->  73 ( 22)
 45 --> 153 ( 31)
 46 -->  21 ( 30)
 47 -->  36 ( 15)
 48 -->  93 ( 22)
 49 -->  45 ( 36)
 50 -->  59 ( 32)
 51 --> 177 ( 17)
 52 -->  61 ( 33)
 53 --> 113 ( 28)
 54 -->  48 ( 22)
 55 -->  80 ( 21)
 56 -->  13 ( 16)
 57 --> 101 ( 31)
 58 --> 158 ( 24)
 59 -->  96 ( 31)
 60 -->  41 ( 15)
 60 -->  72 ( 30)
 60 -->  91 ( 19)
 60 -->  95 ( 20)
 60 --> 149 ( 19)
 60 --> 184 ( 40)
 61 --> 161 ( 32)
 62 -->  34 (  7)
 63 -->   6 (  7)
 64 --> 180 ( 31)
 65 -->   3 ( 19)
 65 -->   8 ( 24)
 65 --> 127 ( 22)
 66 -->   8 ( 23)
 66 -->  18 ( 37)
 66 -->  47 ( 26)
 66 -->  73 ( 16)
 66 --> 109 ( 19)
 66 --> 117 ( 32)
 66 --> 134 ( 27)
 66 --> 135 ( 39)
 67 --> 111 ( 25)
 68 --> 162 ( 15)
 69 --> 118 ( 24)
 70 --> 119 ( 37)
 71 --> 134 ( 27)
 71 --> 154 ( 22)
 72 -->  74 ( 18)
 72 -->  78 ( 29)
 72 --> 100 ( 28)
 72 --> 105 ( 34)
 72 --> 110 ( 26)
 72 --> 145 ( 13)
 72 --> 149 ( 19)
 73 --> 127 ( 34)
