WEIGHTED DIGRAPH 218 398:
  0 -->  84 (  9)
  0 -->  87 ( 21)
  0 --> 101 ( 20)
  0 --> 162 ( 27)
  0 --> 164 ( 21)
  1 -->  42 ( 17)
  2 -->  17 ( 23)
  3 -->  18 ( 23)
  3 -->  70 ( 35)
  3 -->  84 ( 47)
  3 --> 148 ( 15)
  3 --> 159 ( 17)
  3 --> 195 ( 24)
  3 --> 204 ( 16)
  4 --> 129 ( 28)
  5 -->  84 ( 41)
  5 --> 101 ( 33)
  5 --> 106 ( 27)
  5 --> 148 ( 25)
  5 --> 204 ( 20)
  5 --> 214 (  5)
  6 -->  67 ( 26)
  7 --> 128 ( 21)
  8 -->  53 ( 16)
  9 --> 206 ( 29)
 10 -->  58 ( 33)
 11 --> 211 ( 27)
 12 --> 185 ( 37)
 13 -->   6 ( 37)
 14 -->  73 ( 18)
 15 -->  94 ( 28)
 15 --> 106 ( 23)
 15 --> 151 ( 18)
 16 -->  53 ( 14)
 16 -->  77 ( 36)
 17 --> 166 ( 28)
 19 --> 113 ( 20)
 19 --> 204 ( 24)
 20 --> 137 ( 42)
 21 -->  34 ( 30)
 22 --> 177 ( 16)
 23 -->  46 ( 30)
 24 -->   4 ( 20)
 25 -->  50 ( 32)
 26 -->  16 ( 42)
 26 -->  28 ( 31)
 26 -->  92 ( 27)
 26 -->  94 ( 35)
 26 --> 101 ( 29)
 26 --> 141 ( 36)
 26 --> 194 ( 39)
 26 --> 203 ( 22)
 27 -->  48 ( 24)
 29 -->   8 ( 32)
 29 -->  28 ( 12)
 29 -->  33 ( 30)
 30 --> 135 ( 33)
 31 --> 193 ( 37)
 32 -->  99 ( 30)
 33 -->  26 ( 22)
 33 -->  53 ( 42)
 33 --> 106 ( 34)
 33 --> 141 ( 28)
 33 --> 203 ( 19)
 34 --> 191 ( 32)
 35 --> 141 ( 20)
 36 --> 111 ( 34)
 37 --> 180 ( 39)
 38 --> 198 ( 32)
 39 -->  20 ( 19)
 40 -->  21 ( 19)
 41 --> 127 ( 39)
 42 --> 126 ( 15)
 43 --> 208 ( 19)
 44 -->  83 ( 26)
 45 -->  13 ( 21)
 45 -->  68 ( 20)
 45 -->  80 ( 23)
 45 --> 117 ( 26)
 45 --> 148 ( 36)
 46 -->  81 ( 36)
 47 --> 214 ( 30)
 48 --> 131 ( 24)
 49 --> 209 ( 37)
 50 -->  76 ( 27)
 50 -->  84 ( 23)
 50 -->  94 ( 24)
 50 -->  95 ( 20)
 50 --> 101 ( 21)
 50 --> 118 ( 20)
 50 --> 156 ( 24)
 50 --> 168 ( 21)
 51 -->  90 ( 19)
 52 --> 188 ( 16)
 53 -->   3 ( 37)
 53 -->  80 ( 22)
 53 --> 141 ( 31)
 53 --> 151 ( 38)
 53 --> 159 ( 22)
 53 --> 204 ( 30)
 54 -->  72 ( 30)
 55 -->  35 ( 29)
 56 -->  91 ( 10)
 56 --> 118 ( 40)
 56 --> 204 ( 29)
 57 -->  51 ( 19)
 58 -->  49 ( 29)
 59 -->  24 ( 20)
 60 --> 139 ( 34)
 61 -->  98 ( 27)
 62 -->  55 ( 18)
 63 -->  38 ( 19)
 64 -->  10 ( 31)
 65 --> 121 ( 34)
 66 -->  26 ( 14)
 67 -->  62 ( 27)
 68 -->  26 ( 25)
 68 -->  77 ( 34)
 68 --> 101 ( 33)
 68 --> 195 ( 25)
 69 --> 138 ( 29)
 70 -->  29 ( 40)
 70 --> 164 ( 16)
 71 --> 190 ( 23)
 72 --> 160 ( 17)
 73 --> 114 ( 33)
 74 --> 146 ( 19)
 75 -->  96 ( 30)
 76 -->   1 (  9)
 77 --> 117 ( 46)
 77 --> 151 ( 17)
 78 --> 153 ( 19)
 79 -->  15 ( 34)
 79 -->  29 ( 18)
 79 --> 203 ( 30)
 79 --> 204 ( 26)
 79 --> 217 ( 28)
 80 -->  18 ( 14)
 80 -->  79 ( 27)
 80 --> 118 ( 22)
 80 --> 165 ( 32)
 80 --> 203 ( 36)
 81 --> 115 ( 35)
 82 --> 173 ( 41)
 83 --> 144 ( 27)
 84 -->  26 ( 25)
 84 -->  68 ( 28)
 84 --> 101 ( 35)
 84 --> 113 ( 24)
 84 --> 194 ( 34)
 85 -->  74 ( 35)
 86 -->  27 ( 24)
 87 -->   3 ( 21)
 87 -->  45 ( 29)
 87 --> 172 ( 37)
 87 --> 216 ( 27)
 88 -->  91 ( 30)
 88 --> 195 ( 21)
 89 -->  47 ( 25)
 90 -->  69 ( 29)
 91 -->  79 ( 22)
 91 --> 101 ( 27)
 91 --> 158 ( 26)
 91 --> 167 ( 26)
 92 -->  45 ( 16)
 92 -->  91 (  3)
 92 -->  97 ( 28)
 93 -->  52 ( 11)
 94 -->  66 (  9)
 94 -->  79 ( 43)
 94 --> 117 ( 22)
 94 --> 165 ( 33)
 94 --> 194 ( 26)
 95 -->  45 ( 39)
 95 -->  56 ( 29)
 95 --> 133 ( 25)
 95 --> 148 ( 13)
 95 --> 195 ( 32)
 95 --> 204 ( 34)
 96 --> 215 ( 24)
 97 -->  66 ( 27)
 97 -->  84 ( 29)
 97 --> 113 ( 33)
 97 --> 184 ( 32)
 98 -->  86 ( 25)
 99 --> 110 ( 22)
100 --> 210 ( 27)
101 -->  92 ( 28)
101 --> 161 ( 23)
101 --> 165 ( 22)
101 --> 194 ( 31)
101 --> 203 ( 28)
102 --> 207 ( 35)
103 --> 123 ( 36)
104 -->  14 ( 22)
105 --> 122 (  3)
106 -->  29 ( 11)
106 --> 117 ( 15)
107 -->  43 ( 41)
108 --> 172 (  8)
109 -->  25 ( 12)
110 -->  22 ( 35)
111 -->  63 ( 27)
112 --> 132 ( 35)
113 -->   3 ( 18)
113 -->   5 ( 15)
113 -->  18 ( 19)
113 --> 106 ( 21)
113 --> 161 ( 28)
113 --> 184 ( 20)
114 --> 176 ( 33)
115 --> 170 ( 29)
116 -->  39 ( 24)
117 -->   3 ( 10)
117 -->  29 ( 32)
117 -->  56 ( 21)
117 --> 204 ( 24)
118 -->  26 ( 24)
118 -->  28 ( 40)
118 -->  29 ( 31)
118 --> 151 ( 22)
118 --> 156 ( 41)
119 -->  71 ( 13)
120 -->   8 ( 27)
120 -->  33 ( 27)
120 -->  79 ( 28)
120 -->  94 ( 37)
120 --> 161 ( 12)
121 -->  78 ( 35)
122 -->  85 ( 32)
123 --> 104 ( 17)
124 --> 155 ( 35)
125 --> 214 ( 25)
126 -->  40 ( 30)
127 --> 149 ( 23)
128 --> 169 ( 26)
129 --> 108 ( 29)
130 --> 103 ( 27)
131 -->  59 ( 22)
132 -->  89 ( 22)
133 -->   5 ( 20)
133 -->  84 ( 11)
133 -->  88 ( 35)
133 --> 117 ( 18)
133 --> 203 ( 11)
134 --> 142 ( 27)
135 --> 163 ( 41)
136 -->  93 ( 20)
137 --> 205 ( 35)
138 --> 174 ( 14)
139 -->  11 ( 34)
140 --> 136 ( 23)
141 --> 105 ( 12)
142 --> 202 ( 42)
143 --> 150 ( 45)
144 --> 199 ( 16)
145 --> 154 ( 14)
146 -->   9 ( 14)
147 --> 172 ( 38)
148 -->  15 ( 36)
148 -->  18 ( 29)
148 -->  79 ( 39)
148 -->  88 ( 14)
148 --> 168 ( 19)
148 --> 197 ( 11)
148 --> 203 ( 24)
149 --> 217 ( 16)
150 --> 140 ( 18)
151 -->  16 ( 39)
151 -->  33 ( 18)
151 -->  79 ( 19)
151 --> 158 ( 24)
151 --> 181 ( 13)
152 -->  30 ( 41)
153 --> 152 ( 36)
154 -->   7 ( 19)
155 --> 213 (  7)
156 -->   0 ( 29)
156 -->  16 ( 21)
156 -->  92 ( 25)
156 --> 117 ( 36)
156 --> 204 ( 33)
157 -->  37 ( 40)
158 -->   8 ( 20)
158 -->  15 ( 21)
158 -->  33 ( 16)
158 -->  79 ( 27)
158 -->  94 ( 28)
158 --> 113 ( 26)
158 --> 172 ( 34)
158 --> 194 ( 24)
159 -->   8 ( 27)
160 --> 134 ( 30)
161 -->   8 ( 37)
161 --> 151 ( 22)
161 --> 203 ( 21)
162 -->  16 ( 33)
162 -->  84 ( 29)
163 -->  60 ( 29)
164 -->  29 ( 37)
164 --> 181 ( 26)
164 --> 194 ( 33)
164 --> 195 ( 33)
165 -->  92 ( 24)
166 --> 145 ( 23)
167 -->   8 ( 18)
167 -->  28 ( 10)
167 -->  33 ( 22)
167 -->  97 ( 21)
167 --> 120 ( 46)
169 --> 201 ( 30)
170 -->  45 ( 30)
171 --> 116 ( 21)
172 -->  31 (  6)
172 -->  53 ( 12)
172 --> 156 ( 27)
172 --> 161 ( 36)
172 --> 162 ( 21)
172 --> 187 ( 25)
173 -->  32 ( 33)
174 --> 157 ( 15)
175 --> 178 ( 27)
176 --> 112 ( 26)
177 -->  36 ( 15)
178 --> 186 ( 31)
179 --> 147 ( 43)
180 --> 175 (  9)
181 -->   3 ( 20)
181 -->  33 ( 40)
181 -->  45 ( 32)
181 -->  87 ( 25)
181 -->  92 ( 34)
181 --> 102 ( 38)
181 --> 118 ( 24)
181 --> 194 ( 23)
181 --> 217 ( 14)
182 --> 203 ( 22)
183 -->  61 ( 38)
184 -->  50 ( 36)
184 -->  53 ( 34)
184 --> 101 ( 22)
184 --> 203 ( 18)
184 --> 214 ( 38)
185 --> 181 ( 20)
186 --> 183 ( 30)
187 --> 212 ( 19)
188 --> 100 ( 18)
189 --> 179 ( 25)
190 --> 182 ( 17)
191 -->  64 ( 38)
192 -->  54 ( 31)
193 --> 119 ( 28)
194 -->  19 ( 23)
194 -->  80 ( 10)
194 --> 162 ( 27)
195 -->   8 ( 26)
195 --> 133 ( 27)
195 --> 156 ( 14)
196 -->  12 ( 36)
197 -->  79 ( 24)
197 --> 101 ( 43)
198 --> 189 ( 25)
199 --> 196 ( 29)
200 --> 125 ( 24)
201 --> 109 ( 28)
202 -->   2 ( 23)
203 -->  45 ( 17)
203 -->  53 ( 40)
203 -->  57 ( 26)
203 -->  77 ( 39)
203 -->  87 ( 16)
203 -->  97 ( 33)
203 --> 159 ( 24)
204 -->   8 ( 21)
204 --> 106 ( 21)
204 --> 113 ( 31)
204 --> 141 ( 39)
204 --> 181 ( 37)
205 --> 192 ( 24)
206 -->  23 ( 28)
207 --> 124 ( 12)
208 --> 200 (  8)
209 --> 107 ( 31)
210 -->  82 ( 36)
211 -->  44 ( 26)
212 --> 130 ( 25)
213 -->  41 ( 25)
214 -->  50 ( 31)
214 --> 143 ( 28)
214 --> 171 ( 17)
215 -->  65 ( 33)
216 -->  33 ( 22)
216 -->  84 ( 33)
216 --> 168 ( 30)
217 -->  75 ( 34)
217 -->  88 ( 18)
217 --> 106 ( 26)
217 --> 161 ( 37)
