WEIGHTED DIGRAPH 208 388:
  0 --> 199 (  8)
  1 -->  57 ( 24)
  2 -->  76 ( 29)
  3 -->  14 ( 26)
  3 -->  69 ( 24)
  4 --> 191 ( 29)
  4 --> 206 ( 32)
  5 --> 146 ( 21)
  6 -->  30 ( 23)
  6 --> 109 ( 26)
  6 --> 111 ( 18)
  6 --> 137 ( 21)
  6 --> 158 ( 16)
  6 --> 159 ( 41)
  7 --> 178 ( 32)
  8 --> 151 ( 17)
  9 --> 119 ( 28)
 10 -->  14 (  9)
 10 -->  58 ( 32)
 10 --> 111 ( 37)
 10 --> 114 ( 33)
 10 --> 176 ( 21)
 10 --> 204 ( 11)
 11 -->  15 ( 21)
 11 -->  30 ( 38)
 11 -->  83 ( 32)
 11 --> 163 ( 32)
 11 --> 190 ( 12)
 12 --> 193 ( 16)
 13 -->  46 ( 18)
 13 -->  58 ( 15)
 13 -->  69 ( 12)
 13 --> 119 ( 18)
 14 --> 111 ( 19)
 14 --> 168 ( 32)
 14 --> 192 ( 28)
 15 -->  63 ( 26)
 15 --> 114 (  7)
 15 --> 137 ( 26)
 16 -->  32 ( 29)
 17 -->  11 ( 34)
 17 -->  30 ( 22)
 17 -->  76 (  7)
 17 --> 128 ( 32)
 17 --> 206 ( 14)
 18 --> 108 ( 17)
 19 -->  30 ( 25)
 19 -->  40 ( 29)
 19 -->  76 ( 39)
 19 --> 155 ( 30)
 19 --> 158 ( 18)
 20 --> 171 ( 22)
 21 --> 170 ( 25)
 22 -->  77 ( 22)
 23 -->   5 ( 18)
 24 -->  80 ( 21)
 25 --> 139 ( 22)
 26 --> 172 ( 34)
 27 -->  23 ( 32)
 28 -->  30 ( 31)
 29 --> 133 ( 29)
 30 -->  50 ( 40)
 30 -->  58 ( 35)
 30 -->  75 (  6)
 30 -->  95 ( 25)
 31 --> 123 ( 40)
 32 -->  29 ( 31)
 33 -->  39 ( 17)
 34 --> 167 ( 19)
 35 -->  20 ( 25)
 37 -->  59 ( 25)
 38 --> 180 ( 22)
 39 -->  82 ( 30)
 40 -->  35 ( 41)
 40 -->  58 ( 22)
 40 --> 111 ( 32)
 40 --> 137 ( 23)
 40 --> 159 ( 27)
 40 --> 160 ( 32)
 41 --> 134 ( 27)
 42 --> 205 ( 26)
 43 -->  62 ( 23)
 44 -->  55 ( 31)
 45 --> 186 ( 25)
 46 -->  17 ( 24)
 46 --> 158 ( 20)
 46 --> 163 ( 27)
 47 -->  88 ( 46)
